                 Dve (um),0.005523,0.005725,0.005935,0.006153,0.006378,0.006612,0.006854,0.007105,0.007365,0.007635,0.007915,0.008205,0.008505,0.008817,0.009140,0.009475,0.009822,0.010182,0.010554,0.010941,0.011342,0.011757,0.012188,0.012635,0.013097,0.013577,0.014075,0.014590,0.015125,0.015679,0.016253,0.016849,0.017466,0.018106,0.018769,0.019456,0.020169,0.020908,0.021674,0.022468,0.023291,0.024144,0.025029,0.025946,0.026896,0.027881,0.028903,0.029961,0.031059,0.032197,0.033376,0.034599,0.035866,0.037180,0.038542,0.039954,0.041418,0.042935,0.044508,0.046138,0.047829,0.049581,0.051397,0.053280,0.055232,0.057255,0.059352,0.061527,0.063780,0.066117,0.068539,0.071050,0.073653,0.076351,0.079148,0.082047,0.085053,0.088168,0.091398,0.094746,0.098217,0.101815,0.105545,0.109411,0.113419,0.117574,0.121881,0.126346,0.130975,0.135773,0.140746,0.145902,0.151247,0.156788,0.162531,0.168485,0.174658,0.181056,0.187688,0.194564,0.201691,0.209080,0.216739,0.224679,0.232910,0.241442,0.250287,0.259455,0.268960,0.278813,0.289026,0.299614,0.310590,0.321968,0.333762,0.345989,0.358664,0.371803,0.385423,0.399542,0.414178,0.429351,0.445079,0.461384,0.478286,0.495807,0.513970,0.532798,0.552316,0.572549,0.593523,0.615265,0.637804,0.661169,0.685390,0.710497,0.736525,0.763506,0.791476,0.820470,0.850526,0.881683,0.913982,0.947464,0.982172,1.018152,1.055450,1.094114,1.134194,1.175743,1.218814,1.263463,1.309747,1.357727,1.407465,1.459024,1.512473,1.567879,1.625315,1.684855,1.746576,1.810558,1.876884,1.945640,2.016915,2.090800,2.167392,2.246790,2.329097,2.414418,2.502865,2.594553,2.689599,2.788127,2.890264,2.996143,3.105900,3.219678,3.337625,3.459892,3.586638,3.718027,3.854229,3.995421,4.141785,4.293510,4.450794,4.613840,4.782858,4.958068,5.139697,5.327979,5.523158,5.725488,5.935229,6.152654,6.378044,6.611690,6.853896,7.104974,7.365250,7.635061,7.914755,8.204696,8.505258,8.816831,9.139817,9.474635,9.821719,10.18152,10.55450,10.94114,11.34194,11.75743,12.18814,12.63463,13.09747,13.57727,14.07465,14.59024,15.12473,15.67879,16.25315,16.84855,17.46576,18.10558,18.76884,19.45640, NaTotal
                  dlogDve,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625
Total  dN/dlogDve (#/scc),0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,1.006e+4,3.391e+3,4.305e+3,2.159e+3,1.562e+3,1.081e+3,7.482e+2,5.409e+2,4.440e+2,3.420e+2,2.384e+2,1.889e+2,1.423e+2,7.757e+1,5.818e+1,5.250e+1,3.160e+1,2.880e+1,2.541e+1,3.316e+1,3.950e+1,4.754e+1,3.060e+1,3.159e+1,3.275e+1,4.599e+1,4.348e+1,5.152e+1,7.994e+1,6.973e+1,9.634e+1,1.002e+2,1.095e+2,1.138e+2,1.398e+2,1.511e+2,1.700e+2,2.084e+2,2.254e+2,2.427e+2,2.709e+2,3.111e+2,3.553e+2,3.944e+2,4.414e+2,5.031e+2,5.450e+2,6.036e+2,6.668e+2,7.220e+2,7.749e+2,8.575e+2,8.930e+2,9.494e+2,1.018e+3,1.111e+3,1.212e+3,1.318e+3,1.361e+3,1.428e+3,1.431e+3,1.510e+3,1.803e+3,2.010e+3,2.252e+3,2.479e+3,2.742e+3,3.064e+3,3.441e+3,3.794e+3,4.155e+3,4.607e+3,5.370e+3,6.176e+3,7.069e+3,7.846e+3,8.811e+3,9.569e+3,1.036e+4,1.075e+4,1.097e+4,1.088e+4,1.084e+4,1.046e+4,1.002e+4,9.509e+3,9.329e+3,9.064e+3,9.157e+3,9.196e+3,9.190e+3,9.329e+3,9.443e+3,9.547e+3,9.423e+3,9.186e+3,8.790e+3,8.189e+3,7.445e+3,6.670e+3,5.761e+3,4.932e+3,4.218e+3,3.609e+3,3.082e+3,2.620e+3,2.203e+3,1.836e+3,1.492e+3,1.204e+3,9.924e+2,7.847e+2,6.166e+2,4.815e+2,3.715e+2,2.784e+2,2.233e+2,1.676e+2,1.255e+2,9.756e+1,7.580e+1,5.773e+1,4.446e+1,3.441e+1,2.710e+1,2.057e+1,1.565e+1,1.169e+1,8.884e+0,6.778e+0,5.358e+0,4.076e+0,3.167e+0,2.561e+0,2.004e+0,1.569e+0,1.235e+0,1.010e+0,8.571e-1,7.308e-1,5.871e-1,4.664e-1,3.726e-1,2.991e-1,2.277e-1,1.703e-1,1.370e-1,1.130e-1,8.155e-2,5.684e-2,4.755e-2,4.341e-2,3.001e-2,1.842e-2,1.347e-2,1.119e-2,9.955e-3,9.291e-3,8.530e-3,7.693e-3,5.880e-3,4.355e-3,3.908e-3,3.714e-3,3.577e-3,3.432e-3,2.379e-3,1.233e-3,7.924e-4,4.096e-4,2.877e-4,1.007e-3,1.450e-3,1.450e-3,1.182e-3,4.613e-4,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,5.696e+3
AS     dN/dlogDve (#/scc),0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,2.888e+3,1.085e+3,7.588e+2,4.969e+2,3.520e+2,2.396e+2,1.844e+2,1.343e+2,1.024e+2,7.807e+1,6.449e+1,2.548e+1,2.498e+1,2.082e+1,9.348e+0,8.890e+0,1.115e+1,1.044e+1,8.588e+0,1.078e+1,5.561e+0,4.214e+0,7.786e+0,1.095e+1,9.323e+0,1.407e+1,2.671e+1,2.296e+1,3.735e+1,3.018e+1,3.357e+1,4.056e+1,5.254e+1,6.143e+1,6.805e+1,8.198e+1,9.268e+1,9.636e+1,1.143e+2,1.312e+2,1.511e+2,1.765e+2,1.859e+2,2.027e+2,2.268e+2,2.690e+2,2.797e+2,3.044e+2,3.186e+2,3.591e+2,3.663e+2,3.963e+2,4.238e+2,4.885e+2,5.446e+2,6.027e+2,6.394e+2,6.963e+2,7.101e+2,7.554e+2,9.667e+2,1.151e+3,1.323e+3,1.496e+3,1.704e+3,1.964e+3,2.281e+3,2.598e+3,2.926e+3,3.424e+3,4.152e+3,4.918e+3,5.748e+3,6.511e+3,7.496e+3,8.312e+3,9.018e+3,9.338e+3,9.492e+3,9.330e+3,9.182e+3,8.727e+3,8.103e+3,7.339e+3,6.792e+3,6.067e+3,5.607e+3,5.134e+3,4.682e+3,4.318e+3,3.967e+3,3.636e+3,3.212e+3,2.841e+3,2.489e+3,2.196e+3,1.897e+3,1.661e+3,1.408e+3,1.197e+3,1.007e+3,8.531e+2,6.980e+2,5.622e+2,4.434e+2,3.706e+2,2.837e+2,2.071e+2,1.599e+2,1.159e+2,9.640e+1,7.541e+1,5.473e+1,4.121e+1,3.790e+1,2.694e+1,1.894e+1,1.398e+1,1.116e+1,1.010e+1,8.137e+0,5.575e+0,4.753e+0,4.529e+0,4.008e+0,3.008e+0,2.458e+0,2.129e+0,1.927e+0,1.557e+0,1.268e+0,1.091e+0,9.238e-1,7.397e-1,5.697e-1,4.736e-1,4.122e-1,3.594e-1,2.991e-1,2.480e-1,1.994e-1,1.598e-1,1.254e-1,9.799e-2,8.189e-2,6.931e-2,4.851e-2,3.247e-2,2.598e-2,2.185e-2,1.719e-2,1.323e-2,9.855e-3,7.258e-3,7.160e-3,7.938e-3,7.766e-3,7.191e-3,5.400e-3,3.667e-3,3.068e-3,2.858e-3,2.777e-3,2.762e-3,1.902e-3,1.057e-3,5.848e-4,1.652e-4,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,3.208e+3
NaCl   dN/dlogDve (#/scc),0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,1.006e+4,3.391e+3,1.417e+3,1.073e+3,8.029e+2,5.844e+2,3.961e+2,3.013e+2,2.595e+2,2.077e+2,1.360e+2,1.108e+2,7.781e+1,5.209e+1,3.320e+1,3.168e+1,2.225e+1,1.991e+1,1.426e+1,2.272e+1,3.092e+1,3.677e+1,2.504e+1,2.737e+1,2.497e+1,3.504e+1,3.416e+1,3.745e+1,5.323e+1,4.677e+1,5.898e+1,6.999e+1,7.592e+1,7.329e+1,8.727e+1,8.963e+1,1.020e+2,1.264e+2,1.327e+2,1.463e+2,1.566e+2,1.799e+2,2.042e+2,2.179e+2,2.555e+2,3.004e+2,3.182e+2,3.346e+2,3.871e+2,4.177e+2,4.563e+2,4.983e+2,5.267e+2,5.530e+2,5.942e+2,6.224e+2,6.678e+2,7.149e+2,7.215e+2,7.312e+2,7.211e+2,7.551e+2,8.367e+2,8.594e+2,9.289e+2,9.824e+2,1.038e+3,1.100e+3,1.161e+3,1.196e+3,1.229e+3,1.183e+3,1.218e+3,1.258e+3,1.321e+3,1.335e+3,1.315e+3,1.257e+3,1.338e+3,1.408e+3,1.478e+3,1.550e+3,1.655e+3,1.734e+3,1.920e+3,2.171e+3,2.537e+3,2.997e+3,3.550e+3,4.061e+3,4.508e+3,5.011e+3,5.476e+3,5.912e+3,6.210e+3,6.345e+3,6.301e+3,5.992e+3,5.548e+3,5.009e+3,4.353e+3,3.735e+3,3.212e+3,2.756e+3,2.384e+3,2.058e+3,1.760e+3,1.465e+3,1.209e+3,9.971e+2,8.325e+2,6.689e+2,5.202e+2,4.061e+2,3.168e+2,2.372e+2,1.854e+2,1.407e+2,1.065e+2,8.358e+1,6.464e+1,4.763e+1,3.633e+1,2.884e+1,2.235e+1,1.605e+1,1.164e+1,8.685e+0,6.426e+0,4.649e+0,3.431e+0,2.519e+0,1.899e+0,1.470e+0,1.080e+0,8.297e-1,6.652e-1,5.363e-1,4.449e-1,3.714e-1,2.880e-1,2.185e-1,1.731e-1,1.393e-1,1.023e-1,7.232e-2,5.515e-2,4.366e-2,3.304e-2,2.436e-2,2.157e-2,2.156e-2,1.282e-2,5.191e-3,3.619e-3,3.933e-3,2.795e-3,1.353e-3,7.639e-4,5.018e-4,4.798e-4,6.871e-4,8.404e-4,8.563e-4,7.998e-4,6.700e-4,4.770e-4,1.763e-4,2.076e-4,2.444e-4,2.877e-4,1.007e-3,1.450e-3,1.450e-3,1.182e-3,4.613e-4,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,2.489e+3
Total  dN/dlogDve (#/cc ),0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,9.451e+3,3.187e+3,4.045e+3,2.029e+3,1.468e+3,1.016e+3,7.031e+2,5.083e+2,4.172e+2,3.213e+2,2.240e+2,1.775e+2,1.337e+2,7.289e+1,5.467e+1,4.934e+1,2.969e+1,2.706e+1,2.388e+1,3.116e+1,3.712e+1,4.468e+1,2.876e+1,2.968e+1,3.078e+1,4.322e+1,4.086e+1,4.841e+1,7.512e+1,6.553e+1,9.053e+1,9.413e+1,1.029e+2,1.070e+2,1.314e+2,1.420e+2,1.598e+2,1.958e+2,2.118e+2,2.281e+2,2.546e+2,2.923e+2,3.339e+2,3.706e+2,4.148e+2,4.728e+2,5.122e+2,5.672e+2,6.266e+2,6.785e+2,7.281e+2,8.058e+2,8.391e+2,8.921e+2,9.566e+2,1.044e+3,1.139e+3,1.238e+3,1.279e+3,1.341e+3,1.345e+3,1.419e+3,1.695e+3,1.889e+3,2.116e+3,2.329e+3,2.577e+3,2.879e+3,3.234e+3,3.565e+3,3.904e+3,4.329e+3,5.047e+3,5.804e+3,6.643e+3,7.373e+3,8.280e+3,8.992e+3,9.731e+3,1.010e+4,1.031e+4,1.022e+4,1.018e+4,9.830e+3,9.418e+3,8.936e+3,8.766e+3,8.517e+3,8.605e+3,8.641e+3,8.636e+3,8.766e+3,8.874e+3,8.972e+3,8.855e+3,8.632e+3,8.260e+3,7.695e+3,6.996e+3,6.268e+3,5.414e+3,4.635e+3,3.964e+3,3.391e+3,2.896e+3,2.462e+3,2.070e+3,1.725e+3,1.402e+3,1.132e+3,9.326e+2,7.374e+2,5.794e+2,4.525e+2,3.491e+2,2.616e+2,2.098e+2,1.575e+2,1.179e+2,9.168e+1,7.123e+1,5.425e+1,4.178e+1,3.234e+1,2.547e+1,1.933e+1,1.471e+1,1.099e+1,8.349e+0,6.370e+0,5.035e+0,3.831e+0,2.976e+0,2.407e+0,1.883e+0,1.475e+0,1.160e+0,9.490e-1,8.054e-1,6.867e-1,5.517e-1,4.383e-1,3.501e-1,2.811e-1,2.140e-1,1.600e-1,1.288e-1,1.062e-1,7.663e-2,5.341e-2,4.468e-2,4.079e-2,2.820e-2,1.731e-2,1.266e-2,1.052e-2,9.354e-3,8.731e-3,8.015e-3,7.229e-3,5.526e-3,4.092e-3,3.673e-3,3.490e-3,3.361e-3,3.225e-3,2.236e-3,1.159e-3,7.446e-4,3.849e-4,2.703e-4,9.465e-4,1.362e-3,1.363e-3,1.111e-3,4.335e-4,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,5.353e+3
AS     dN/dlogDve (#/cc ),0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,2.714e+3,1.020e+3,7.131e+2,4.669e+2,3.308e+2,2.251e+2,1.733e+2,1.262e+2,9.620e+1,7.336e+1,6.061e+1,2.394e+1,2.347e+1,1.957e+1,8.784e+0,8.354e+0,1.047e+1,9.810e+0,8.070e+0,1.013e+1,5.225e+0,3.960e+0,7.317e+0,1.029e+1,8.761e+0,1.322e+1,2.510e+1,2.157e+1,3.510e+1,2.836e+1,3.155e+1,3.811e+1,4.937e+1,5.773e+1,6.395e+1,7.704e+1,8.709e+1,9.055e+1,1.074e+2,1.233e+2,1.420e+2,1.658e+2,1.747e+2,1.905e+2,2.131e+2,2.528e+2,2.628e+2,2.860e+2,2.994e+2,3.375e+2,3.442e+2,3.724e+2,3.983e+2,4.590e+2,5.118e+2,5.664e+2,6.009e+2,6.543e+2,6.673e+2,7.099e+2,9.084e+2,1.081e+3,1.243e+3,1.406e+3,1.601e+3,1.845e+3,2.143e+3,2.442e+3,2.749e+3,3.217e+3,3.902e+3,4.621e+3,5.402e+3,6.118e+3,7.044e+3,7.810e+3,8.474e+3,8.775e+3,8.919e+3,8.768e+3,8.628e+3,8.201e+3,7.614e+3,6.896e+3,6.382e+3,5.701e+3,5.269e+3,4.825e+3,4.400e+3,4.058e+3,3.728e+3,3.417e+3,3.019e+3,2.670e+3,2.339e+3,2.064e+3,1.783e+3,1.561e+3,1.323e+3,1.125e+3,9.461e+2,8.016e+2,6.559e+2,5.283e+2,4.167e+2,3.482e+2,2.666e+2,1.946e+2,1.503e+2,1.089e+2,9.059e+1,7.087e+1,5.143e+1,3.872e+1,3.562e+1,2.532e+1,1.780e+1,1.314e+1,1.049e+1,9.494e+0,7.646e+0,5.239e+0,4.466e+0,4.256e+0,3.767e+0,2.826e+0,2.310e+0,2.001e+0,1.811e+0,1.463e+0,1.192e+0,1.025e+0,8.681e-1,6.951e-1,5.354e-1,4.450e-1,3.874e-1,3.377e-1,2.811e-1,2.330e-1,1.874e-1,1.502e-1,1.178e-1,9.209e-2,7.695e-2,6.513e-2,4.559e-2,3.052e-2,2.441e-2,2.053e-2,1.615e-2,1.243e-2,9.261e-3,6.820e-3,6.728e-3,7.459e-3,7.297e-3,6.757e-3,5.075e-3,3.446e-3,2.883e-3,2.686e-3,2.610e-3,2.596e-3,1.788e-3,9.931e-4,5.496e-4,1.552e-4,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,3.014e+3
NaCl   dN/dlogDve (#/cc ),0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,9.451e+3,3.187e+3,1.331e+3,1.009e+3,7.545e+2,5.492e+2,3.723e+2,2.832e+2,2.439e+2,1.952e+2,1.278e+2,1.041e+2,7.312e+1,4.895e+1,3.120e+1,2.977e+1,2.091e+1,1.871e+1,1.340e+1,2.135e+1,2.905e+1,3.455e+1,2.353e+1,2.572e+1,2.346e+1,3.293e+1,3.210e+1,3.519e+1,5.002e+1,4.395e+1,5.543e+1,6.577e+1,7.134e+1,6.887e+1,8.201e+1,8.422e+1,9.584e+1,1.188e+2,1.247e+2,1.375e+2,1.472e+2,1.690e+2,1.919e+2,2.048e+2,2.401e+2,2.823e+2,2.990e+2,3.144e+2,3.638e+2,3.925e+2,4.288e+2,4.683e+2,4.949e+2,5.197e+2,5.583e+2,5.849e+2,6.275e+2,6.718e+2,6.780e+2,6.871e+2,6.776e+2,7.095e+2,7.863e+2,8.076e+2,8.729e+2,9.232e+2,9.756e+2,1.034e+3,1.091e+3,1.124e+3,1.155e+3,1.112e+3,1.145e+3,1.183e+3,1.241e+3,1.255e+3,1.236e+3,1.181e+3,1.257e+3,1.323e+3,1.389e+3,1.456e+3,1.555e+3,1.629e+3,1.804e+3,2.040e+3,2.384e+3,2.816e+3,3.336e+3,3.817e+3,4.236e+3,4.709e+3,5.146e+3,5.555e+3,5.836e+3,5.962e+3,5.921e+3,5.631e+3,5.214e+3,4.707e+3,4.091e+3,3.510e+3,3.018e+3,2.590e+3,2.241e+3,1.933e+3,1.653e+3,1.377e+3,1.136e+3,9.369e+2,7.823e+2,6.285e+2,4.888e+2,3.816e+2,2.977e+2,2.229e+2,1.742e+2,1.322e+2,1.001e+2,7.854e+1,6.075e+1,4.475e+1,3.414e+1,2.710e+1,2.100e+1,1.508e+1,1.094e+1,8.162e+0,6.039e+0,4.369e+0,3.224e+0,2.367e+0,1.784e+0,1.382e+0,1.015e+0,7.797e-1,6.251e-1,5.039e-1,4.180e-1,3.490e-1,2.706e-1,2.053e-1,1.627e-1,1.309e-1,9.616e-2,6.796e-2,5.182e-2,4.103e-2,3.105e-2,2.289e-2,2.027e-2,2.026e-2,1.205e-2,4.878e-3,3.401e-3,3.696e-3,2.626e-3,1.272e-3,7.178e-4,4.716e-4,4.509e-4,6.457e-4,7.897e-4,8.047e-4,7.516e-4,6.296e-4,4.482e-4,1.657e-4,1.951e-4,2.296e-4,2.703e-4,9.465e-4,1.362e-3,1.363e-3,1.111e-3,4.335e-4,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,2.339e+3
