                 Dae (um),0.523000,0.542000,0.583000,0.626000,0.673000,0.723000,0.777000,0.835000,0.898000,0.965000,1.037000,1.114000,1.197000,1.286000,1.382000,1.486000,1.596000,1.715000,1.843000,1.981000,2.129000,2.288000,2.458000,2.642000,2.839000,3.051000,3.278000,3.523000,3.786000,4.068000,4.371000,4.698000,5.048000,5.425000,5.829000,6.264000,6.732000,7.234000,7.774000,8.354000,8.977000,9.647000,10.37000,11.14000,11.97000,12.86000,13.82000,14.86000,15.96000,17.15000,18.43000,19.81000, NaTotal
                  dlogDae,0.250000,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250
Total  dN/dlogDae (#/scc),4.888e+1,4.670e+1,4.765e+1,4.348e+1,3.849e+1,3.453e+1,2.993e+1,2.398e+1,1.756e+1,1.129e+1,6.821e+0,3.966e+0,2.187e+0,1.213e+0,6.545e-1,3.672e-1,1.514e-1,7.164e-2,3.908e-2,2.035e-2,1.140e-2,5.699e-3,4.885e-3,6.513e-3,1.628e-3,0.000e+0,2.442e-3,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,2.188e+1
Total  dN/dlogDae (#/cc ),4.630e+1,4.424e+1,4.514e+1,4.119e+1,3.646e+1,3.271e+1,2.835e+1,2.271e+1,1.663e+1,1.070e+1,6.462e+0,3.757e+0,2.071e+0,1.149e+0,6.201e-1,3.478e-1,1.434e-1,6.787e-2,3.702e-2,1.928e-2,1.080e-2,5.399e-3,4.627e-3,6.170e-3,1.542e-3,0.000e+0,2.314e-3,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,2.073e+1
