                 Dmo (um),0.007106,0.007366,0.007636,0.007916,0.008206,0.008507,0.008818,0.009141,0.009476,0.009823,0.010183,0.010556,0.010943,0.011344,0.011759,0.012190,0.012637,0.013100,0.013579,0.014077,0.014593,0.015127,0.015681,0.016256,0.016851,0.017469,0.018109,0.018772,0.019460,0.020172,0.020911,0.021677,0.022472,0.023295,0.024148,0.025033,0.025950,0.026900,0.027886,0.028907,0.029966,0.031064,0.032202,0.033382,0.034605,0.035872,0.037186,0.038549,0.039961,0.041425,0.042942,0.044515,0.046146,0.047836,0.049589,0.051405,0.053288,0.055241,0.057264,0.059362,0.061536,0.063791,0.066128,0.068550,0.071061,0.073664,0.076363,0.079160,0.082060,0.085066,0.088183,0.091413,0.094762,0.098233,0.101832,0.105562,0.109429,0.113438,0.117593,0.121901,0.126367,0.130996,0.135795,0.140769,0.145926,0.151272,0.156813,0.162558,0.168513,0.174686,0.181085,0.187719,0.194595,0.201724,0.209114,0.216774,0.224715,0.232947,0.241481,0.250327,0.259497,0.269003,0.278858,0.289073,0.299663,0.310640,0.322020,0.333816,0.346045,0.358722,0.371863,0.385485,0.399607,0.414245,0.429421,0.445151,0.461459,0.478363,0.495887,0.514053,0.532884,0.552405,0.572641,0.593619,0.615365,0.637908,0.661276,0.685501,0.710612,0.736644,0.763630,0.791604,0.820602,0.850663,0.881826,0.914130,0.947617, NaTotal
                  dlogDmo,0.015648,0.015625,0.015641,0.015583,0.015667,0.015623,0.015613,0.015632,0.015629,0.015608,0.015611,0.015636,0.015638,0.015622,0.015624,0.015606,0.015639,0.015617,0.015641,0.015612,0.015626,0.015620,0.015622,0.015631,0.015620,0.015640,0.015615,0.015641,0.015624,0.015610,0.015640,0.015608,0.015637,0.015625,0.015612,0.015633,0.015617,0.015630,0.015623,0.015626,0.015625,0.015632,0.015619,0.015627,0.015627,0.015619,0.015628,0.015628,0.015619,0.015633,0.015617,0.015631,0.015624,0.015626,0.015626,0.015623,0.015625,0.015623,0.015625,0.015629,0.015620,0.015626,0.015626,0.015625,0.015623,0.015625,0.015630,0.015621,0.015625,0.015624,0.015629,0.015623,0.015625,0.015626,0.015624,0.015627,0.015623,0.015626,0.015628,0.015624,0.015625,0.015624,0.015625,0.015625,0.015626,0.015625,0.015624,0.015625,0.015625,0.015625,0.015624,0.015625,0.015626,0.015625,0.015624,0.015625,0.015625,0.015625,0.015625,0.015626,0.015625,0.015625,0.015626,0.015625,0.015625,0.015625,0.015625,0.015625,0.015624,0.015625,0.015626,0.015624,0.015625,0.015626,0.015624,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015626,0.015624,0.015626,0.015625,0.015625,0.015626,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625
Total  dN/dlogDmo (#/scc),8.974e+3,1.733e+3,1.230e+3,8.347e+2,5.503e+2,3.751e+2,2.742e+2,2.051e+2,1.392e+2,9.200e+1,5.631e+1,3.432e+1,3.420e+1,3.330e+1,8.671e+0,8.294e+0,5.923e+0,3.451e+0,3.239e+0,2.962e+0,2.189e+0,3.982e+0,7.219e+0,3.950e+0,1.151e+0,2.487e+0,8.944e-1,3.039e+0,4.291e+0,5.589e+0,3.422e+0,3.875e+0,7.919e+0,6.559e+0,1.438e+1,9.945e+0,1.144e+1,1.934e+1,1.803e+1,1.696e+1,2.133e+1,2.437e+1,2.964e+1,3.715e+1,4.029e+1,4.402e+1,4.492e+1,5.451e+1,7.106e+1,8.269e+1,9.208e+1,1.162e+2,1.336e+2,1.533e+2,1.476e+2,1.797e+2,2.193e+2,2.955e+2,3.221e+2,4.056e+2,4.268e+2,5.636e+2,6.355e+2,7.512e+2,9.877e+2,1.239e+3,1.440e+3,1.680e+3,2.165e+3,2.846e+3,3.401e+3,4.213e+3,4.882e+3,5.578e+3,6.330e+3,6.944e+3,7.324e+3,7.645e+3,7.797e+3,7.670e+3,7.402e+3,7.148e+3,6.939e+3,6.667e+3,6.336e+3,6.078e+3,5.741e+3,5.452e+3,5.171e+3,4.801e+3,4.323e+3,3.928e+3,3.532e+3,3.196e+3,2.937e+3,2.617e+3,2.282e+3,1.969e+3,1.744e+3,1.527e+3,1.225e+3,1.009e+3,8.549e+2,7.204e+2,5.900e+2,4.705e+2,3.560e+2,2.782e+2,2.422e+2,1.861e+2,1.514e+2,1.248e+2,1.088e+2,7.958e+1,7.374e+1,6.293e+1,4.507e+1,4.321e+1,3.944e+1,3.233e+1,2.995e+1,2.625e+1,2.075e+1,1.405e+1,1.236e+1,1.344e+1,9.798e+0,1.091e+1,9.224e+0,5.659e+0,4.228e+0,3.269e+0,3.775e+0,2.999e+0,1.670e+0,1.863e+0,1.314e+0,2.945e+3
Total  dN/dlogDmo (#/cc ),8.531e+3,1.648e+3,1.169e+3,7.934e+2,5.231e+2,3.566e+2,2.606e+2,1.950e+2,1.323e+2,8.745e+1,5.353e+1,3.262e+1,3.251e+1,3.166e+1,8.242e+0,7.884e+0,5.630e+0,3.280e+0,3.079e+0,2.815e+0,2.080e+0,3.785e+0,6.862e+0,3.755e+0,1.094e+0,2.364e+0,8.502e-1,2.889e+0,4.079e+0,5.312e+0,3.253e+0,3.684e+0,7.527e+0,6.235e+0,1.367e+1,9.453e+0,1.088e+1,1.839e+1,1.714e+1,1.612e+1,2.028e+1,2.317e+1,2.818e+1,3.531e+1,3.830e+1,4.184e+1,4.270e+1,5.181e+1,6.755e+1,7.861e+1,8.752e+1,1.105e+2,1.269e+2,1.457e+2,1.403e+2,1.708e+2,2.085e+2,2.809e+2,3.061e+2,3.855e+2,4.057e+2,5.357e+2,6.040e+2,7.140e+2,9.388e+2,1.178e+3,1.369e+3,1.597e+3,2.058e+3,2.706e+3,3.233e+3,4.005e+3,4.641e+3,5.302e+3,6.017e+3,6.601e+3,6.962e+3,7.267e+3,7.411e+3,7.291e+3,7.036e+3,6.794e+3,6.596e+3,6.338e+3,6.023e+3,5.778e+3,5.457e+3,5.183e+3,4.915e+3,4.564e+3,4.109e+3,3.734e+3,3.357e+3,3.038e+3,2.791e+3,2.487e+3,2.169e+3,1.872e+3,1.657e+3,1.451e+3,1.164e+3,9.595e+2,8.126e+2,6.848e+2,5.609e+2,4.472e+2,3.384e+2,2.644e+2,2.302e+2,1.769e+2,1.439e+2,1.187e+2,1.034e+2,7.564e+1,7.009e+1,5.981e+1,4.285e+1,4.107e+1,3.749e+1,3.073e+1,2.847e+1,2.495e+1,1.973e+1,1.336e+1,1.175e+1,1.278e+1,9.313e+0,1.037e+1,8.768e+0,5.379e+0,4.019e+0,3.107e+0,3.588e+0,2.851e+0,1.587e+0,1.771e+0,1.249e+0,2.799e+3
