                 Dmo (um),0.007106,0.007366,0.007636,0.007916,0.008206,0.008507,0.008818,0.009141,0.009476,0.009823,0.010183,0.010556,0.010943,0.011344,0.011759,0.012190,0.012637,0.013100,0.013579,0.014077,0.014593,0.015127,0.015681,0.016256,0.016851,0.017469,0.018109,0.018772,0.019460,0.020172,0.020911,0.021677,0.022472,0.023295,0.024148,0.025033,0.025950,0.026900,0.027886,0.028907,0.029966,0.031064,0.032202,0.033382,0.034605,0.035872,0.037186,0.038549,0.039961,0.041425,0.042942,0.044515,0.046146,0.047836,0.049589,0.051405,0.053288,0.055241,0.057264,0.059362,0.061536,0.063791,0.066128,0.068550,0.071061,0.073664,0.076363,0.079160,0.082060,0.085066,0.088183,0.091413,0.094762,0.098233,0.101832,0.105562,0.109429,0.113438,0.117593,0.121901,0.126367,0.130996,0.135795,0.140769,0.145926,0.151272,0.156813,0.162558,0.168513,0.174686,0.181085,0.187719,0.194595,0.201724,0.209114,0.216774,0.224715,0.232947,0.241481,0.250327,0.259497,0.269003,0.278858,0.289073,0.299663,0.310640,0.322020,0.333816,0.346045,0.358722,0.371863,0.385485,0.399607,0.414245,0.429421,0.445151,0.461459,0.478363,0.495887,0.514053,0.532884,0.552405,0.572641,0.593619,0.615365,0.637908,0.661276,0.685501,0.710612,0.736644,0.763630,0.791604,0.820602,0.850663,0.881826,0.914130,0.947617, NaTotal
                  dlogDmo,0.015648,0.015625,0.015641,0.015583,0.015667,0.015623,0.015613,0.015632,0.015629,0.015608,0.015611,0.015636,0.015638,0.015622,0.015624,0.015606,0.015639,0.015617,0.015641,0.015612,0.015626,0.015620,0.015622,0.015631,0.015620,0.015640,0.015615,0.015641,0.015624,0.015610,0.015640,0.015608,0.015637,0.015625,0.015612,0.015633,0.015617,0.015630,0.015623,0.015626,0.015625,0.015632,0.015619,0.015627,0.015627,0.015619,0.015628,0.015628,0.015619,0.015633,0.015617,0.015631,0.015624,0.015626,0.015626,0.015623,0.015625,0.015623,0.015625,0.015629,0.015620,0.015626,0.015626,0.015625,0.015623,0.015625,0.015630,0.015621,0.015625,0.015624,0.015629,0.015623,0.015625,0.015626,0.015624,0.015627,0.015623,0.015626,0.015628,0.015624,0.015625,0.015624,0.015625,0.015625,0.015626,0.015625,0.015624,0.015625,0.015625,0.015625,0.015624,0.015625,0.015626,0.015625,0.015624,0.015625,0.015625,0.015625,0.015625,0.015626,0.015625,0.015625,0.015626,0.015625,0.015625,0.015625,0.015625,0.015625,0.015624,0.015625,0.015626,0.015624,0.015625,0.015626,0.015624,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015626,0.015624,0.015626,0.015625,0.015625,0.015626,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625
Total  dN/dlogDmo (#/scc),1.357e+4,2.920e+3,1.696e+3,1.162e+3,8.936e+2,6.070e+2,3.849e+2,2.206e+2,2.307e+2,1.629e+2,1.025e+2,6.436e+1,3.665e+1,3.548e+1,2.647e+1,1.932e+1,1.873e+1,1.418e+1,1.337e+1,7.264e+0,1.580e+1,1.897e+1,2.402e+1,2.535e+1,2.776e+1,3.674e+1,4.630e+1,4.533e+1,4.879e+1,6.211e+1,7.175e+1,7.066e+1,7.117e+1,9.165e+1,1.051e+2,1.266e+2,1.373e+2,1.388e+2,1.609e+2,1.946e+2,2.238e+2,2.640e+2,2.914e+2,3.364e+2,3.797e+2,4.153e+2,4.645e+2,5.212e+2,5.917e+2,6.500e+2,7.964e+2,8.988e+2,1.033e+3,1.161e+3,1.385e+3,1.668e+3,2.001e+3,2.381e+3,2.888e+3,3.303e+3,3.884e+3,4.731e+3,5.586e+3,5.994e+3,6.435e+3,6.909e+3,7.185e+3,7.449e+3,7.644e+3,7.727e+3,8.124e+3,8.428e+3,8.794e+3,9.290e+3,9.649e+3,1.006e+4,1.061e+4,1.114e+4,1.158e+4,1.174e+4,1.169e+4,1.125e+4,1.079e+4,1.021e+4,9.561e+3,8.871e+3,8.422e+3,7.796e+3,7.169e+3,6.650e+3,6.032e+3,5.442e+3,4.828e+3,4.366e+3,3.922e+3,3.531e+3,3.044e+3,2.757e+3,2.436e+3,2.154e+3,1.865e+3,1.554e+3,1.338e+3,1.130e+3,9.297e+2,7.941e+2,6.818e+2,5.818e+2,4.684e+2,4.134e+2,3.698e+2,3.026e+2,2.538e+2,2.049e+2,1.799e+2,1.494e+2,1.213e+2,1.048e+2,8.487e+1,6.468e+1,5.796e+1,4.900e+1,4.390e+1,3.879e+1,3.110e+1,2.872e+1,2.018e+1,1.632e+1,1.740e+1,1.449e+1,1.003e+1,7.350e+0,6.223e+0,5.350e+0,5.769e+0,6.607e+0,6.248e+0,5.488e+3
AS     dN/dlogDmo (#/scc),1.357e+4,2.920e+3,1.696e+3,1.162e+3,8.936e+2,6.070e+2,3.849e+2,2.206e+2,2.307e+2,1.628e+2,1.025e+2,6.435e+1,3.665e+1,3.546e+1,2.645e+1,1.925e+1,1.863e+1,1.407e+1,1.320e+1,7.086e+0,1.476e+1,1.593e+1,2.138e+1,2.231e+1,2.372e+1,2.872e+1,3.736e+1,3.830e+1,3.563e+1,4.618e+1,4.751e+1,4.130e+1,4.260e+1,5.583e+1,5.738e+1,6.542e+1,6.814e+1,6.372e+1,6.741e+1,7.766e+1,8.393e+1,9.287e+1,9.770e+1,1.057e+2,1.092e+2,1.117e+2,1.172e+2,1.233e+2,1.293e+2,1.312e+2,1.524e+2,1.580e+2,1.726e+2,1.901e+2,2.304e+2,2.704e+2,3.201e+2,3.661e+2,4.511e+2,4.973e+2,6.307e+2,8.929e+2,1.121e+3,1.300e+3,1.492e+3,1.755e+3,2.060e+3,2.378e+3,2.611e+3,2.931e+3,3.404e+3,4.016e+3,4.726e+3,5.532e+3,6.257e+3,7.043e+3,7.888e+3,8.666e+3,9.330e+3,9.765e+3,9.962e+3,9.807e+3,9.564e+3,9.156e+3,8.662e+3,8.110e+3,7.768e+3,7.254e+3,6.730e+3,6.301e+3,5.762e+3,5.230e+3,4.665e+3,4.239e+3,3.823e+3,3.455e+3,2.988e+3,2.713e+3,2.404e+3,2.129e+3,1.848e+3,1.542e+3,1.329e+3,1.124e+3,9.256e+2,7.911e+2,6.798e+2,5.804e+2,4.674e+2,4.127e+2,3.692e+2,3.022e+2,2.536e+2,2.048e+2,1.798e+2,1.494e+2,1.213e+2,1.048e+2,8.485e+1,6.467e+1,5.795e+1,4.899e+1,4.390e+1,3.878e+1,3.110e+1,2.872e+1,2.018e+1,1.632e+1,1.739e+1,1.449e+1,1.003e+1,7.350e+0,6.223e+0,5.350e+0,5.769e+0,6.607e+0,6.248e+0,3.803e+3
NaCl   dN/dlogDmo (#/scc),1.184e-5,2.629e-5,3.902e-5,7.544e-5,1.586e-4,2.750e-4,4.055e-4,5.586e-4,1.523e-3,3.530e-3,4.845e-3,6.212e-3,9.025e-3,1.328e-2,2.264e-2,7.388e-2,9.290e-2,1.163e-1,1.662e-1,1.784e-1,1.035e+0,3.044e+0,2.644e+0,3.040e+0,4.043e+0,8.017e+0,8.943e+0,7.034e+0,1.315e+1,1.593e+1,2.424e+1,2.936e+1,2.857e+1,3.581e+1,4.769e+1,6.119e+1,6.918e+1,7.507e+1,9.351e+1,1.170e+2,1.399e+2,1.711e+2,1.937e+2,2.307e+2,2.705e+2,3.036e+2,3.473e+2,3.979e+2,4.624e+2,5.188e+2,6.439e+2,7.408e+2,8.603e+2,9.708e+2,1.155e+3,1.397e+3,1.681e+3,2.015e+3,2.436e+3,2.806e+3,3.253e+3,3.838e+3,4.465e+3,4.694e+3,4.943e+3,5.154e+3,5.125e+3,5.070e+3,5.033e+3,4.796e+3,4.720e+3,4.411e+3,4.068e+3,3.758e+3,3.392e+3,3.018e+3,2.720e+3,2.477e+3,2.254e+3,1.979e+3,1.727e+3,1.445e+3,1.223e+3,1.054e+3,8.993e+2,7.601e+2,6.535e+2,5.411e+2,4.387e+2,3.491e+2,2.696e+2,2.126e+2,1.627e+2,1.276e+2,9.887e+1,7.624e+1,5.686e+1,4.375e+1,3.200e+1,2.421e+1,1.750e+1,1.208e+1,8.595e+0,6.023e+0,4.134e+0,2.958e+0,2.002e+0,1.433e+0,1.006e+0,7.331e-1,5.598e-1,3.559e-1,2.391e-1,1.645e-1,1.166e-1,5.959e-2,3.875e-2,3.094e-2,1.855e-2,1.041e-2,5.886e-3,3.534e-3,2.809e-3,1.683e-3,8.057e-4,4.534e-4,2.520e-4,1.469e-4,9.917e-5,3.996e-5,1.581e-5,8.004e-6,3.408e-6,9.644e-7,4.646e-7,5.235e-7,3.284e-7,1.685e+3
Total  dN/dlogDmo (#/cc ),1.280e+4,2.756e+3,1.601e+3,1.097e+3,8.433e+2,5.728e+2,3.633e+2,2.082e+2,2.177e+2,1.537e+2,9.677e+1,6.074e+1,3.459e+1,3.348e+1,2.498e+1,1.824e+1,1.767e+1,1.339e+1,1.262e+1,6.856e+0,1.491e+1,1.790e+1,2.267e+1,2.392e+1,2.620e+1,3.467e+1,4.370e+1,4.278e+1,4.604e+1,5.861e+1,6.771e+1,6.668e+1,6.717e+1,8.649e+1,9.915e+1,1.195e+2,1.296e+2,1.310e+2,1.519e+2,1.837e+2,2.112e+2,2.491e+2,2.750e+2,3.175e+2,3.584e+2,3.920e+2,4.383e+2,4.919e+2,5.584e+2,6.134e+2,7.515e+2,8.482e+2,9.748e+2,1.096e+3,1.307e+3,1.574e+3,1.889e+3,2.247e+3,2.725e+3,3.118e+3,3.665e+3,4.465e+3,5.272e+3,5.657e+3,6.073e+3,6.520e+3,6.780e+3,7.029e+3,7.214e+3,7.292e+3,7.667e+3,7.953e+3,8.299e+3,8.767e+3,9.106e+3,9.495e+3,1.001e+4,1.052e+4,1.093e+4,1.108e+4,1.103e+4,1.062e+4,1.018e+4,9.636e+3,9.023e+3,8.371e+3,7.948e+3,7.357e+3,6.765e+3,6.276e+3,5.692e+3,5.136e+3,4.556e+3,4.121e+3,3.701e+3,3.332e+3,2.873e+3,2.602e+3,2.299e+3,2.032e+3,1.760e+3,1.467e+3,1.262e+3,1.067e+3,8.774e+2,7.494e+2,6.434e+2,5.491e+2,4.421e+2,3.901e+2,3.490e+2,2.856e+2,2.396e+2,1.934e+2,1.698e+2,1.410e+2,1.145e+2,9.891e+1,8.009e+1,6.104e+1,5.470e+1,4.624e+1,4.143e+1,3.660e+1,2.935e+1,2.711e+1,1.904e+1,1.540e+1,1.642e+1,1.367e+1,9.466e+0,6.936e+0,5.872e+0,5.049e+0,5.445e+0,6.235e+0,5.896e+0,5.179e+3
AS     dN/dlogDmo (#/cc ),1.280e+4,2.756e+3,1.601e+3,1.097e+3,8.433e+2,5.728e+2,3.633e+2,2.082e+2,2.177e+2,1.537e+2,9.676e+1,6.073e+1,3.458e+1,3.347e+1,2.496e+1,1.817e+1,1.759e+1,1.328e+1,1.246e+1,6.687e+0,1.393e+1,1.503e+1,2.017e+1,2.105e+1,2.238e+1,2.710e+1,3.526e+1,3.614e+1,3.363e+1,4.358e+1,4.483e+1,3.897e+1,4.020e+1,5.269e+1,5.415e+1,6.174e+1,6.431e+1,6.013e+1,6.362e+1,7.329e+1,7.920e+1,8.764e+1,9.220e+1,9.978e+1,1.030e+2,1.055e+2,1.106e+2,1.164e+2,1.220e+2,1.238e+2,1.439e+2,1.491e+2,1.629e+2,1.794e+2,2.175e+2,2.552e+2,3.021e+2,3.455e+2,4.257e+2,4.693e+2,5.952e+2,8.427e+2,1.058e+3,1.227e+3,1.408e+3,1.656e+3,1.944e+3,2.245e+3,2.464e+3,2.766e+3,3.212e+3,3.790e+3,4.460e+3,5.220e+3,5.905e+3,6.647e+3,7.444e+3,8.178e+3,8.805e+3,9.216e+3,9.401e+3,9.256e+3,9.026e+3,8.641e+3,8.175e+3,7.654e+3,7.331e+3,6.846e+3,6.351e+3,5.947e+3,5.438e+3,4.935e+3,4.403e+3,4.000e+3,3.608e+3,3.260e+3,2.819e+3,2.560e+3,2.269e+3,2.010e+3,1.744e+3,1.455e+3,1.254e+3,1.061e+3,8.735e+2,7.466e+2,6.415e+2,5.477e+2,4.411e+2,3.894e+2,3.484e+2,2.852e+2,2.393e+2,1.933e+2,1.697e+2,1.410e+2,1.145e+2,9.888e+1,8.008e+1,6.103e+1,5.469e+1,4.624e+1,4.143e+1,3.660e+1,2.935e+1,2.711e+1,1.904e+1,1.540e+1,1.642e+1,1.367e+1,9.466e+0,6.936e+0,5.872e+0,5.049e+0,5.445e+0,6.235e+0,5.896e+0,3.589e+3
NaCl   dN/dlogDmo (#/cc ),1.118e-5,2.481e-5,3.683e-5,7.120e-5,1.497e-4,2.595e-4,3.827e-4,5.271e-4,1.437e-3,3.331e-3,4.573e-3,5.863e-3,8.517e-3,1.253e-2,2.137e-2,6.973e-2,8.767e-2,1.097e-1,1.568e-1,1.684e-1,9.769e-1,2.873e+0,2.495e+0,2.869e+0,3.816e+0,7.566e+0,8.440e+0,6.638e+0,1.241e+1,1.503e+1,2.288e+1,2.771e+1,2.697e+1,3.380e+1,4.501e+1,5.775e+1,6.529e+1,7.085e+1,8.825e+1,1.104e+2,1.320e+2,1.615e+2,1.828e+2,2.177e+2,2.553e+2,2.865e+2,3.278e+2,3.755e+2,4.364e+2,4.896e+2,6.077e+2,6.991e+2,8.118e+2,9.162e+2,1.090e+3,1.319e+3,1.587e+3,1.901e+3,2.299e+3,2.648e+3,3.070e+3,3.622e+3,4.214e+3,4.430e+3,4.665e+3,4.864e+3,4.837e+3,4.785e+3,4.749e+3,4.526e+3,4.454e+3,4.163e+3,3.839e+3,3.547e+3,3.201e+3,2.848e+3,2.567e+3,2.338e+3,2.127e+3,1.868e+3,1.630e+3,1.363e+3,1.154e+3,9.951e+2,8.487e+2,7.173e+2,6.168e+2,5.106e+2,4.140e+2,3.295e+2,2.545e+2,2.007e+2,1.536e+2,1.204e+2,9.331e+1,7.195e+1,5.366e+1,4.129e+1,3.020e+1,2.285e+1,1.651e+1,1.140e+1,8.111e+0,5.684e+0,3.902e+0,2.792e+0,1.890e+0,1.353e+0,9.491e-1,6.918e-1,5.283e-1,3.359e-1,2.257e-1,1.553e-1,1.100e-1,5.624e-2,3.657e-2,2.920e-2,1.750e-2,9.827e-3,5.555e-3,3.335e-3,2.651e-3,1.588e-3,7.603e-4,4.279e-4,2.378e-4,1.387e-4,9.359e-5,3.771e-5,1.492e-5,7.553e-6,3.216e-6,9.101e-7,4.385e-7,4.941e-7,3.099e-7,1.590e+3
