                 Dve (um),0.005523,0.005725,0.005935,0.006153,0.006378,0.006612,0.006854,0.007105,0.007365,0.007635,0.007915,0.008205,0.008505,0.008817,0.009140,0.009475,0.009822,0.010182,0.010554,0.010941,0.011342,0.011757,0.012188,0.012635,0.013097,0.013577,0.014075,0.014590,0.015125,0.015679,0.016253,0.016849,0.017466,0.018106,0.018769,0.019456,0.020169,0.020908,0.021674,0.022468,0.023291,0.024144,0.025029,0.025946,0.026896,0.027881,0.028903,0.029961,0.031059,0.032197,0.033376,0.034599,0.035866,0.037180,0.038542,0.039954,0.041418,0.042935,0.044508,0.046138,0.047829,0.049581,0.051397,0.053280,0.055232,0.057255,0.059352,0.061527,0.063780,0.066117,0.068539,0.071050,0.073653,0.076351,0.079148,0.082047,0.085053,0.088168,0.091398,0.094746,0.098217,0.101815,0.105545,0.109411,0.113419,0.117574,0.121881,0.126346,0.130975,0.135773,0.140746,0.145902,0.151247,0.156788,0.162531,0.168485,0.174658,0.181056,0.187688,0.194564,0.201691,0.209080,0.216739,0.224679,0.232910,0.241442,0.250287,0.259455,0.268960,0.278813,0.289026,0.299614,0.310590,0.321968,0.333762,0.345989,0.358664,0.371803,0.385423,0.399542,0.414178,0.429351,0.445079,0.461384,0.478286,0.495807,0.513970,0.532798,0.552316,0.572549,0.593523,0.615265,0.637804,0.661169,0.685390,0.710497,0.736525,0.763506,0.791476,0.820470,0.850526,0.881683,0.913982,0.947464,0.982172,1.018152,1.055450,1.094114,1.134194,1.175743,1.218814,1.263463,1.309747,1.357727,1.407465,1.459024,1.512473,1.567879,1.625315,1.684855,1.746576,1.810558,1.876884,1.945640,2.016915,2.090800,2.167392,2.246790,2.329097,2.414418,2.502865,2.594553,2.689599,2.788127,2.890264,2.996143,3.105900,3.219678,3.337625,3.459892,3.586638,3.718027,3.854229,3.995421,4.141785,4.293510,4.450794,4.613840,4.782858,4.958068,5.139697,5.327979,5.523158,5.725488,5.935229,6.152654,6.378044,6.611690,6.853896,7.104974,7.365250,7.635061,7.914755,8.204696,8.505258,8.816831,9.139817,9.474635,9.821719,10.18152,10.55450,10.94114,11.34194,11.75743,12.18814,12.63463,13.09747,13.57727,14.07465,14.59024,15.12473,15.67879,16.25315,16.84855,17.46576,18.10558,18.76884,19.45640, NaTotal
                  dlogDve,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625
Total  dN/dlogDve (#/scc),0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,4.328e+3,1.423e+3,4.401e+3,1.630e+3,1.200e+3,8.227e+2,6.050e+2,4.135e+2,2.798e+2,1.785e+2,1.371e+2,1.044e+2,7.187e+1,4.973e+1,3.804e+1,1.926e+1,1.041e+1,7.794e+0,8.879e+0,7.859e+0,1.050e+1,1.486e+1,1.816e+1,1.640e+1,1.238e+1,7.183e+0,1.002e+1,1.222e+1,1.735e+1,2.105e+1,2.786e+1,2.640e+1,2.745e+1,3.025e+1,2.786e+1,3.758e+1,4.304e+1,5.151e+1,6.310e+1,6.199e+1,7.072e+1,9.229e+1,9.585e+1,9.302e+1,1.113e+2,1.311e+2,1.398e+2,1.482e+2,1.666e+2,1.954e+2,2.147e+2,2.130e+2,2.277e+2,2.763e+2,3.339e+2,3.444e+2,3.795e+2,4.164e+2,4.862e+2,5.214e+2,5.853e+2,6.652e+2,8.206e+2,8.808e+2,1.014e+3,1.156e+3,1.403e+3,1.678e+3,2.017e+3,2.445e+3,2.962e+3,3.439e+3,4.017e+3,4.808e+3,5.439e+3,6.002e+3,6.694e+3,7.103e+3,7.598e+3,7.954e+3,8.023e+3,7.742e+3,7.647e+3,7.517e+3,7.477e+3,7.296e+3,7.355e+3,7.350e+3,7.315e+3,7.323e+3,7.242e+3,7.114e+3,6.956e+3,6.795e+3,6.475e+3,6.193e+3,5.851e+3,5.424e+3,4.917e+3,4.403e+3,3.923e+3,3.305e+3,2.799e+3,2.430e+3,2.134e+3,1.877e+3,1.631e+3,1.367e+3,1.174e+3,1.036e+3,8.873e+2,7.473e+2,6.268e+2,4.942e+2,3.827e+2,3.182e+2,2.512e+2,1.862e+2,1.501e+2,1.159e+2,8.830e+1,7.018e+1,5.555e+1,4.146e+1,2.924e+1,2.173e+1,1.601e+1,1.150e+1,8.773e+0,6.361e+0,4.374e+0,3.145e+0,2.291e+0,1.831e+0,1.397e+0,1.064e+0,8.488e-1,6.610e-1,5.639e-1,4.802e-1,3.957e-1,3.289e-1,2.983e-1,2.726e-1,2.143e-1,1.651e-1,1.455e-1,1.294e-1,1.039e-1,8.357e-2,7.050e-2,5.964e-2,4.895e-2,4.062e-2,3.205e-2,2.472e-2,1.977e-2,1.620e-2,1.002e-2,6.053e-3,5.116e-3,4.488e-3,3.991e-3,3.526e-3,2.059e-3,4.095e-4,3.864e-4,7.556e-4,5.053e-4,9.570e-5,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,3.941e+3
FA     dN/dlogDve (#/scc),0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,3.888e+3,1.246e+3,9.140e+2,5.999e+2,4.480e+2,3.144e+2,2.080e+2,1.320e+2,1.005e+2,7.402e+1,4.567e+1,3.526e+1,2.447e+1,1.192e+1,8.564e+0,1.374e+0,4.568e+0,3.890e+0,1.987e+0,5.531e+0,8.107e+0,8.190e+0,4.409e+0,1.776e+0,1.562e+0,8.265e-1,3.613e+0,5.009e+0,9.766e+0,4.523e+0,5.915e+0,8.970e+0,7.155e+0,1.393e+1,9.910e+0,1.439e+1,2.159e+1,2.076e+1,1.702e+1,2.626e+1,3.353e+1,3.405e+1,3.438e+1,4.261e+1,4.597e+1,5.058e+1,5.802e+1,7.344e+1,8.897e+1,9.991e+1,9.860e+1,1.227e+2,1.560e+2,1.678e+2,2.015e+2,2.387e+2,3.003e+2,3.485e+2,3.818e+2,4.583e+2,6.081e+2,6.660e+2,8.088e+2,9.397e+2,1.159e+3,1.412e+3,1.758e+3,2.189e+3,2.712e+3,3.207e+3,3.767e+3,4.549e+3,5.166e+3,5.719e+3,6.408e+3,6.821e+3,7.284e+3,7.607e+3,7.646e+3,7.327e+3,7.184e+3,7.012e+3,6.898e+3,6.615e+3,6.524e+3,6.355e+3,6.094e+3,5.843e+3,5.530e+3,5.182e+3,4.803e+3,4.464e+3,4.014e+3,3.639e+3,3.255e+3,2.901e+3,2.560e+3,2.215e+3,1.961e+3,1.592e+3,1.307e+3,1.096e+3,9.056e+2,7.592e+2,6.147e+2,4.673e+2,3.720e+2,3.219e+2,2.609e+2,2.113e+2,1.796e+2,1.497e+2,1.025e+2,8.502e+1,7.215e+1,5.342e+1,4.626e+1,3.640e+1,2.951e+1,2.462e+1,1.958e+1,1.594e+1,1.201e+1,9.401e+0,7.823e+0,6.125e+0,5.209e+0,3.953e+0,2.784e+0,2.098e+0,1.597e+0,1.354e+0,1.075e+0,8.506e-1,6.910e-1,5.427e-1,4.741e-1,4.117e-1,3.377e-1,2.783e-1,2.479e-1,2.201e-1,1.723e-1,1.350e-1,1.246e-1,1.151e-1,9.338e-2,7.553e-2,6.463e-2,5.549e-2,4.529e-2,3.679e-2,2.905e-2,2.287e-2,1.907e-2,1.603e-2,9.903e-3,5.809e-3,4.806e-3,4.250e-3,3.832e-3,3.470e-3,2.041e-3,3.523e-4,3.235e-4,7.324e-4,5.053e-4,9.570e-5,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,2.982e+3
NaCl   dN/dlogDve (#/scc),0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,4.328e+3,1.423e+3,5.129e+2,3.840e+2,2.861e+2,2.228e+2,1.571e+2,9.905e+1,7.177e+1,4.650e+1,3.656e+1,3.038e+1,2.619e+1,1.447e+1,1.357e+1,7.341e+0,1.845e+0,6.419e+0,4.312e+0,3.969e+0,8.513e+0,9.332e+0,1.006e+1,8.209e+0,7.971e+0,5.407e+0,8.456e+0,1.139e+1,1.373e+1,1.604e+1,1.809e+1,2.188e+1,2.153e+1,2.128e+1,2.071e+1,2.365e+1,3.313e+1,3.712e+1,4.152e+1,4.123e+1,5.370e+1,6.603e+1,6.232e+1,5.897e+1,7.692e+1,8.850e+1,9.382e+1,9.764e+1,1.086e+2,1.219e+2,1.258e+2,1.131e+2,1.291e+2,1.536e+2,1.779e+2,1.766e+2,1.779e+2,1.778e+2,1.859e+2,1.730e+2,2.035e+2,2.070e+2,2.125e+2,2.147e+2,2.051e+2,2.159e+2,2.435e+2,2.660e+2,2.594e+2,2.553e+2,2.501e+2,2.317e+2,2.497e+2,2.589e+2,2.730e+2,2.837e+2,2.865e+2,2.815e+2,3.134e+2,3.463e+2,3.773e+2,4.154e+2,4.634e+2,5.052e+2,5.797e+2,6.804e+2,8.309e+2,9.952e+2,1.221e+3,1.479e+3,1.712e+3,1.931e+3,2.153e+3,2.331e+3,2.461e+3,2.554e+3,2.596e+3,2.524e+3,2.357e+3,2.188e+3,1.963e+3,1.713e+3,1.492e+3,1.335e+3,1.229e+3,1.117e+3,1.016e+3,8.995e+2,8.022e+2,7.141e+2,6.264e+2,5.360e+2,4.472e+2,3.445e+2,2.802e+2,2.331e+2,1.791e+2,1.328e+2,1.038e+2,7.953e+1,5.880e+1,4.556e+1,3.597e+1,2.551e+1,1.723e+1,1.233e+1,8.188e+0,5.372e+0,3.565e+0,2.407e+0,1.590e+0,1.047e+0,6.936e-1,4.768e-1,3.226e-1,2.136e-1,1.578e-1,1.183e-1,8.987e-2,6.848e-2,5.797e-2,5.062e-2,5.037e-2,5.252e-2,4.201e-2,3.008e-2,2.090e-2,1.431e-2,1.051e-2,8.042e-3,5.867e-3,4.149e-3,3.667e-3,3.826e-3,2.995e-3,1.854e-3,6.993e-4,1.685e-4,1.188e-4,2.432e-4,3.102e-4,2.378e-4,1.588e-4,5.670e-5,1.760e-5,5.717e-5,6.290e-5,2.325e-5,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,9.586e+2
Total  dN/dlogDve (#/cc ),0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,4.101e+3,1.349e+3,4.170e+3,1.544e+3,1.137e+3,7.796e+2,5.733e+2,3.918e+2,2.651e+2,1.692e+2,1.299e+2,9.892e+1,6.810e+1,4.712e+1,3.605e+1,1.825e+1,9.864e+0,7.385e+0,8.414e+0,7.448e+0,9.950e+0,1.408e+1,1.721e+1,1.554e+1,1.173e+1,6.807e+0,9.493e+0,1.158e+1,1.644e+1,1.995e+1,2.640e+1,2.502e+1,2.601e+1,2.866e+1,2.640e+1,3.561e+1,4.079e+1,4.881e+1,5.980e+1,5.874e+1,6.702e+1,8.745e+1,9.083e+1,8.814e+1,1.055e+2,1.242e+2,1.325e+2,1.405e+2,1.579e+2,1.851e+2,2.035e+2,2.019e+2,2.157e+2,2.618e+2,3.164e+2,3.264e+2,3.596e+2,3.946e+2,4.608e+2,4.941e+2,5.546e+2,6.304e+2,7.776e+2,8.346e+2,9.607e+2,1.095e+3,1.329e+3,1.590e+3,1.911e+3,2.316e+3,2.807e+3,3.259e+3,3.806e+3,4.556e+3,5.154e+3,5.688e+3,6.344e+3,6.730e+3,7.200e+3,7.537e+3,7.603e+3,7.336e+3,7.246e+3,7.123e+3,7.086e+3,6.914e+3,6.969e+3,6.965e+3,6.931e+3,6.939e+3,6.863e+3,6.741e+3,6.591e+3,6.439e+3,6.136e+3,5.869e+3,5.545e+3,5.140e+3,4.659e+3,4.173e+3,3.718e+3,3.132e+3,2.652e+3,2.303e+3,2.023e+3,1.778e+3,1.546e+3,1.295e+3,1.113e+3,9.817e+2,8.408e+2,7.082e+2,5.940e+2,4.683e+2,3.627e+2,3.015e+2,2.381e+2,1.764e+2,1.422e+2,1.099e+2,8.368e+1,6.650e+1,5.264e+1,3.929e+1,2.771e+1,2.059e+1,1.517e+1,1.089e+1,8.314e+0,6.027e+0,4.145e+0,2.980e+0,2.171e+0,1.735e+0,1.324e+0,1.008e+0,8.043e-1,6.264e-1,5.344e-1,4.551e-1,3.750e-1,3.117e-1,2.827e-1,2.583e-1,2.031e-1,1.564e-1,1.379e-1,1.226e-1,9.845e-2,7.920e-2,6.681e-2,5.651e-2,4.639e-2,3.849e-2,3.037e-2,2.343e-2,1.873e-2,1.535e-2,9.496e-3,5.735e-3,4.848e-3,4.252e-3,3.782e-3,3.342e-3,1.951e-3,3.880e-4,3.662e-4,7.160e-4,4.788e-4,9.069e-5,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,3.735e+3
FA     dN/dlogDve (#/cc ),0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,3.684e+3,1.180e+3,8.661e+2,5.685e+2,4.245e+2,2.979e+2,1.971e+2,1.251e+2,9.524e+1,7.014e+1,4.328e+1,3.342e+1,2.319e+1,1.130e+1,8.116e+0,1.302e+0,4.328e+0,3.686e+0,1.883e+0,5.241e+0,7.683e+0,7.761e+0,4.178e+0,1.683e+0,1.480e+0,7.832e-1,3.424e+0,4.747e+0,9.254e+0,4.286e+0,5.605e+0,8.500e+0,6.780e+0,1.320e+1,9.391e+0,1.363e+1,2.046e+1,1.968e+1,1.613e+1,2.488e+1,3.177e+1,3.226e+1,3.258e+1,4.038e+1,4.357e+1,4.793e+1,5.498e+1,6.959e+1,8.430e+1,9.467e+1,9.344e+1,1.162e+2,1.479e+2,1.590e+2,1.910e+2,2.262e+2,2.846e+2,3.302e+2,3.618e+2,4.343e+2,5.763e+2,6.311e+2,7.664e+2,8.905e+2,1.099e+3,1.338e+3,1.666e+3,2.075e+3,2.570e+3,3.039e+3,3.569e+3,4.310e+3,4.895e+3,5.419e+3,6.072e+3,6.464e+3,6.903e+3,7.209e+3,7.245e+3,6.943e+3,6.807e+3,6.645e+3,6.536e+3,6.269e+3,6.182e+3,6.022e+3,5.775e+3,5.537e+3,5.241e+3,4.911e+3,4.552e+3,4.230e+3,3.804e+3,3.449e+3,3.085e+3,2.749e+3,2.426e+3,2.099e+3,1.858e+3,1.509e+3,1.238e+3,1.038e+3,8.581e+2,7.194e+2,5.825e+2,4.428e+2,3.525e+2,3.050e+2,2.472e+2,2.002e+2,1.702e+2,1.419e+2,9.715e+1,8.057e+1,6.837e+1,5.062e+1,4.383e+1,3.449e+1,2.796e+1,2.333e+1,1.856e+1,1.511e+1,1.138e+1,8.909e+0,7.413e+0,5.804e+0,4.936e+0,3.746e+0,2.638e+0,1.988e+0,1.514e+0,1.284e+0,1.018e+0,8.060e-1,6.548e-1,5.143e-1,4.492e-1,3.902e-1,3.200e-1,2.637e-1,2.349e-1,2.086e-1,1.633e-1,1.279e-1,1.181e-1,1.090e-1,8.849e-2,7.158e-2,6.125e-2,5.258e-2,4.291e-2,3.486e-2,2.753e-2,2.167e-2,1.807e-2,1.519e-2,9.384e-3,5.505e-3,4.554e-3,4.027e-3,3.631e-3,3.288e-3,1.934e-3,3.338e-4,3.066e-4,6.940e-4,4.788e-4,9.069e-5,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,2.826e+3
NaCl   dN/dlogDve (#/cc ),0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,4.101e+3,1.349e+3,4.860e+2,3.638e+2,2.712e+2,2.111e+2,1.488e+2,9.386e+1,6.801e+1,4.407e+1,3.464e+1,2.878e+1,2.482e+1,1.371e+1,1.286e+1,6.956e+0,1.749e+0,6.083e+0,4.086e+0,3.761e+0,8.067e+0,8.843e+0,9.530e+0,7.779e+0,7.553e+0,5.124e+0,8.013e+0,1.079e+1,1.301e+1,1.520e+1,1.714e+1,2.074e+1,2.040e+1,2.016e+1,1.962e+1,2.241e+1,3.140e+1,3.518e+1,3.934e+1,3.907e+1,5.089e+1,6.257e+1,5.906e+1,5.588e+1,7.289e+1,8.386e+1,8.890e+1,9.252e+1,1.029e+2,1.155e+2,1.192e+2,1.072e+2,1.223e+2,1.456e+2,1.685e+2,1.674e+2,1.686e+2,1.685e+2,1.762e+2,1.639e+2,1.928e+2,1.961e+2,2.014e+2,2.035e+2,1.943e+2,2.046e+2,2.308e+2,2.520e+2,2.458e+2,2.419e+2,2.370e+2,2.196e+2,2.366e+2,2.453e+2,2.587e+2,2.688e+2,2.715e+2,2.667e+2,2.970e+2,3.281e+2,3.576e+2,3.936e+2,4.391e+2,4.787e+2,5.493e+2,6.448e+2,7.874e+2,9.430e+2,1.157e+3,1.402e+3,1.622e+3,1.830e+3,2.040e+3,2.208e+3,2.332e+3,2.420e+3,2.460e+3,2.391e+3,2.234e+3,2.073e+3,1.860e+3,1.623e+3,1.413e+3,1.265e+3,1.164e+3,1.059e+3,9.631e+2,8.524e+2,7.602e+2,6.767e+2,5.936e+2,5.080e+2,4.238e+2,3.264e+2,2.655e+2,2.209e+2,1.697e+2,1.258e+2,9.838e+1,7.537e+1,5.572e+1,4.318e+1,3.408e+1,2.418e+1,1.632e+1,1.168e+1,7.759e+0,5.090e+0,3.378e+0,2.281e+0,1.507e+0,9.925e-1,6.573e-1,4.519e-1,3.057e-1,2.024e-1,1.495e-1,1.121e-1,8.516e-2,6.490e-2,5.493e-2,4.797e-2,4.773e-2,4.977e-2,3.981e-2,2.850e-2,1.981e-2,1.356e-2,9.963e-3,7.621e-3,5.560e-3,3.931e-3,3.475e-3,3.625e-3,2.838e-3,1.757e-3,6.626e-4,1.597e-4,1.126e-4,2.305e-4,2.939e-4,2.253e-4,1.505e-4,5.373e-5,1.668e-5,5.418e-5,5.961e-5,2.204e-5,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,9.084e+2
