                 Dae (um),0.523000,0.542000,0.583000,0.626000,0.673000,0.723000,0.777000,0.835000,0.898000,0.965000,1.037000,1.114000,1.197000,1.286000,1.382000,1.486000,1.596000,1.715000,1.843000,1.981000,2.129000,2.288000,2.458000,2.642000,2.839000,3.051000,3.278000,3.523000,3.786000,4.068000,4.371000,4.698000,5.048000,5.425000,5.829000,6.264000,6.732000,7.234000,7.774000,8.354000,8.977000,9.647000,10.37000,11.14000,11.97000,12.86000,13.82000,14.86000,15.96000,17.15000,18.43000,19.81000, NaTotal
                  dlogDae,0.250000,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250
Total  dN/dlogDae (#/scc),3.594e+2,2.557e+2,2.221e+2,1.688e+2,1.170e+2,7.705e+1,4.835e+1,2.819e+1,1.578e+1,8.433e+0,4.478e+0,2.515e+0,1.439e+0,8.767e-1,6.333e-1,4.296e-1,3.557e-1,2.260e-1,1.936e-1,1.396e-1,9.391e-2,6.648e-2,4.155e-2,2.826e-2,1.247e-2,5.817e-3,4.155e-3,4.155e-3,3.324e-3,8.310e-4,8.310e-4,0.000e+0,0.000e+0,1.662e-3,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,1.196e+2
FA     dN/dlogDae (#/scc),2.092e+2,5.425e+1,3.600e+1,2.311e+1,1.478e+1,9.239e+0,6.280e+0,4.297e+0,2.620e+0,1.853e+0,1.169e+0,7.987e-1,5.565e-1,3.822e-1,3.256e-1,2.372e-1,2.000e-1,9.458e-2,1.059e-1,8.787e-2,6.409e-2,4.923e-2,2.566e-2,2.120e-2,1.182e-2,4.479e-3,3.424e-3,3.199e-3,2.478e-3,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,5.719e+1
NaCl   dN/dlogDae (#/scc),1.502e+2,2.014e+2,1.861e+2,1.457e+2,1.022e+2,6.781e+1,4.207e+1,2.390e+1,1.316e+1,6.580e+0,3.310e+0,1.716e+0,8.820e-1,4.946e-1,3.076e-1,1.924e-1,1.557e-1,1.315e-1,8.769e-2,5.175e-2,2.982e-2,1.726e-2,1.589e-2,7.059e-3,6.487e-4,1.339e-3,7.310e-4,9.562e-4,8.464e-4,8.310e-4,0.000e+0,0.000e+0,0.000e+0,1.662e-3,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,6.244e+1
Total  dN/dlogDae (#/cc ),3.394e+2,2.414e+2,2.097e+2,1.594e+2,1.105e+2,7.276e+1,4.565e+1,2.662e+1,1.490e+1,7.963e+0,4.229e+0,2.375e+0,1.358e+0,8.279e-1,5.980e-1,4.057e-1,3.359e-1,2.135e-1,1.828e-1,1.318e-1,8.868e-2,6.278e-2,3.924e-2,2.668e-2,1.177e-2,5.493e-3,3.924e-3,3.924e-3,3.139e-3,7.848e-4,7.848e-4,0.000e+0,0.000e+0,1.570e-3,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,1.130e+2
FA     dN/dlogDae (#/cc ),1.975e+2,5.123e+1,3.400e+1,2.182e+1,1.396e+1,8.724e+0,5.930e+0,4.058e+0,2.474e+0,1.749e+0,1.104e+0,7.542e-1,5.255e-1,3.609e-1,3.075e-1,2.240e-1,1.889e-1,8.932e-2,1.000e-1,8.298e-2,6.052e-2,4.648e-2,2.423e-2,2.002e-2,1.116e-2,4.229e-3,3.233e-3,3.021e-3,2.340e-3,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,5.401e+1
NaCl   dN/dlogDae (#/cc ),1.419e+2,1.902e+2,1.757e+2,1.375e+2,9.655e+1,6.403e+1,3.972e+1,2.257e+1,1.243e+1,6.214e+0,3.125e+0,1.620e+0,8.329e-1,4.670e-1,2.905e-1,1.817e-1,1.470e-1,1.241e-1,8.281e-2,4.886e-2,2.815e-2,1.630e-2,1.500e-2,6.666e-3,6.126e-4,1.264e-3,6.903e-4,9.029e-4,7.992e-4,7.848e-4,0.000e+0,0.000e+0,0.000e+0,1.570e-3,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,5.897e+1
