Time (Sec), Pressure (hPa), Tgw_mean (degC), Tgw_std (degC), Tww_mean (degC), Tww_std (degC), TDew (degC), TFrost (degC), CPC_Inters (#/cm3), CPC_TotBot (#/cm3), CPC_TotTop (#/cm3)
 -60,  983.231,   7.66,   0.92,   7.03,   0.51,   3.82,    NaN,   NaN, 5105.955766,   NaN
 -59,  983.263,   7.66,   0.93,   7.05,   0.51,   3.82,    NaN,   NaN, 4993.180366,   NaN
 -58,  983.428,   7.65,   0.93,   7.06,   0.52,   3.83,    NaN,   NaN, 5120.633848,   NaN
 -57,  983.329,   7.64,   0.93,   7.07,   0.52,   3.83,    NaN,   NaN, 4988.745067,   NaN
 -56,  983.362,   7.64,   0.92,   7.08,   0.52,   3.83,    NaN,   NaN, 5102.636728,   NaN
 -55,  983.362,   7.63,   0.92,   7.09,   0.52,   3.83,    NaN,   NaN, 5097.424502,   NaN
 -54,  983.395,   7.63,   0.93,   7.09,   0.52,   3.83,    NaN,   NaN, 5148.914261,   NaN
 -53,  983.231,   7.61,   0.92,   7.09,   0.52,   3.83,    NaN,   NaN, 5193.953217,   NaN
 -52,  983.263,   7.61,   0.93,   7.09,   0.52,   3.83,    NaN,   NaN, 5155.152014,   NaN
 -51,  983.132,   7.61,   0.93,   7.10,   0.52,   3.83,    NaN,   NaN, 5154.430881,   NaN
 -50,  983.132,   7.60,   0.93,   7.10,   0.52,   3.83,    NaN,   NaN, 5059.343919,   NaN
 -49,  983.001,   7.60,   0.93,   7.10,   0.52,   3.83,    NaN,   NaN, 5202.877162,   NaN
 -48,  983.099,   7.60,   0.94,   7.11,   0.52,   3.83,    NaN,   NaN, 5080.133246,   NaN
 -47,  983.165,   7.60,   0.94,   7.11,   0.52,   3.83,    NaN,   NaN, 5128.830860,   NaN
 -46,  983.263,   7.59,   0.96,   7.11,   0.52,   3.83,    NaN,   NaN, 5112.435676,   NaN
 -45,  983.198,   7.60,   0.97,   7.11,   0.53,   3.82,    NaN,   NaN, 5161.434117,   NaN
 -44,  983.231,   7.60,   0.97,   7.12,   0.53,   3.82,    NaN,   NaN, 5079.745112,   NaN
 -43,  983.165,   7.60,   0.97,   7.12,   0.53,   3.82,    NaN,   NaN, 5054.702839,   NaN
 -42,  983.263,   7.60,   0.97,   7.13,   0.53,   3.82,    NaN,   NaN, 5148.542195,   NaN
 -41,  983.231,   7.60,   0.97,   7.13,   0.53,   3.82,    NaN,   NaN, 5135.509086,   NaN
 -40,  983.231,   7.59,   0.96,   7.13,   0.53,   3.81,    NaN,   NaN, 5279.238011,   NaN
 -39,  983.132,   7.59,   0.96,   7.13,   0.53,   3.81,    NaN,   NaN, 5032.115096,   NaN
 -38,  983.231,   7.59,   0.96,   7.13,   0.53,   3.81,    NaN,   NaN, 5077.048077,   NaN
 -37,  983.198,   7.58,   0.96,   7.13,   0.53,   3.81,    NaN,   NaN, 5077.013288,   NaN
 -36,  983.165,   7.58,   0.96,   7.12,   0.52,   3.81,    NaN,   NaN, 5196.610806,   NaN
 -35,  983.263,   7.58,   0.96,   7.12,   0.52,   3.81,    NaN,   NaN, 5197.028845,   NaN
 -34,  983.362,   7.58,   0.96,   7.11,   0.51,   3.81,    NaN,   NaN, 5034.642588,   NaN
 -33,  983.034,   7.58,   0.96,   7.11,   0.51,   3.81,    NaN,   NaN, 5048.823140,   NaN
 -32,  983.132,   7.58,   0.96,   7.11,   0.51,   3.81,    NaN,   NaN, 5115.167643,   NaN
 -31,  983.231,   7.58,   0.96,   7.11,   0.50,   3.81,    NaN,   NaN, 5022.714962,   NaN
 -30,  983.231,   7.57,   0.97,   7.09,   0.50,   3.81,    NaN,   NaN, 5089.143417,   NaN
 -29,  982.902,   7.58,   0.97,   7.08,   0.51,   3.81,    NaN,   NaN, 5174.495924,   NaN
 -28,  983.198,   7.58,   0.98,   7.06,   0.51,   3.81,    NaN,   NaN, 5045.199675,   NaN
 -27,  983.066,   7.58,   0.99,   7.04,   0.52,   3.81,    NaN,   NaN, 4974.738796,   NaN
 -26,  983.198,   7.58,   0.99,   7.02,   0.52,   3.81,    NaN,   NaN, 5069.863954,   NaN
 -25,  983.066,   7.58,   0.99,   7.01,   0.54,   3.81,    NaN,   NaN, 5027.181822,   NaN
 -24,  983.132,   7.58,   0.99,   6.99,   0.54,   3.81,    NaN,   NaN, 5076.959015,   NaN
 -23,  983.231,   7.57,   0.98,   6.98,   0.55,   3.81,    NaN,   NaN, 5117.513958,   NaN
 -22,  983.099,   7.57,   0.98,   6.98,   0.54,   3.81,    NaN,   NaN, 5103.123151,   NaN
