Time (Sec), Pressure (hPa), Tgw_mean (degC), Tgw_std (degC), Tww_mean (degC), Tww_std (degC), TDew (degC), TFrost (degC), CPC_Inters (#/cm3), CPC_TotBot (#/cm3), CPC_TotTop (#/cm3)
 -60, 1009.392,   6.29,   3.00,   4.13,   0.69,   0.18,    NaN, 2514.774284, 2638.341378,   NaN
 -59, 1009.261,   6.27,   2.97,   4.13,   0.68,   0.18,    NaN, 2501.847256, 2640.392905,   NaN
 -58, 1008.999,   6.28,   2.99,   4.13,   0.69,   0.19,    NaN, 2471.930390, 2624.768896,   NaN
 -57, 1009.228,   6.27,   2.97,   4.13,   0.69,   0.19,    NaN, 2491.690300, 2643.370309,   NaN
 -56, 1009.392,   6.27,   2.98,   4.13,   0.69,   0.19,    NaN, 2529.583010, 2609.734775,   NaN
 -55, 1009.130,   6.28,   3.00,   4.13,   0.69,   0.19,    NaN, 2568.276533, 2597.281613,   NaN
 -54, 1008.999,   6.28,   3.02,   4.13,   0.69,   0.19,    NaN, 2535.022136, 2680.068591,   NaN
 -53, 1009.261,   6.27,   3.00,   4.14,   0.69,   0.19,    NaN, 2419.399252, 2683.778894,   NaN
 -52, 1009.130,   6.27,   3.02,   4.14,   0.69,   0.19,    NaN, 2484.518114, 2655.803301,   NaN
 -51, 1009.130,   6.27,   3.02,   4.14,   0.69,   0.18,    NaN, 2409.872755, 2601.867222,   NaN
 -50, 1008.999,   6.28,   3.03,   4.14,   0.70,   0.18,    NaN, 2461.813150, 2654.602788,   NaN
 -49, 1008.966,   6.27,   3.02,   4.14,   0.70,   0.18,    NaN, 2580.876724, 2720.352798,   NaN
 -48, 1009.130,   6.29,   3.06,   4.15,   0.70,   0.18,    NaN, 2581.178474, 2674.793314,   NaN
 -47, 1008.802,   6.30,   3.10,   4.15,   0.71,   0.18,    NaN, 2492.331061, 2692.388058,   NaN
 -46, 1008.900,   6.31,   3.11,   4.15,   0.71,   0.18,    NaN, 2557.237400, 2692.581972,   NaN
 -45, 1009.031,   6.31,   3.10,   4.16,   0.71,   0.18,    NaN, 2448.917259, 2649.924237,   NaN
 -44, 1008.703,   6.30,   3.07,   4.16,   0.71,   0.18,    NaN, 2470.113098, 2711.060006,   NaN
 -43, 1008.867,   6.29,   3.07,   4.15,   0.71,   0.18,    NaN, 2519.860767, 2713.502575,   NaN
 -42, 1008.966,   6.28,   3.04,   4.15,   0.71,   0.18,    NaN, 2512.998594, 2671.987119,   NaN
 -41, 1008.736,   6.26,   3.03,   4.15,   0.71,   0.18,    NaN, 2464.948435, 2721.526760,   NaN
 -40, 1008.637,   6.27,   3.03,   4.15,   0.72,   0.18,    NaN, 2597.143424, 2667.471411,   NaN
 -39, 1008.966,   6.27,   3.03,   4.16,   0.72,   0.18,    NaN, 2497.904233, 2654.868137,   NaN
 -38, 1008.966,   6.24,   2.98,   4.15,   0.72,   0.18,    NaN, 2494.590652, 2657.453738,   NaN
 -37, 1008.637,   6.25,   2.97,   4.15,   0.73,   0.18,    NaN, 2552.864712, 2697.417134,   NaN
 -36, 1008.605,   6.21,   2.90,   4.15,   0.72,   0.17,    NaN, 2488.899501, 2708.011819,   NaN
 -35, 1008.867,   6.20,   2.87,   4.14,   0.72,   0.17,    NaN, 2560.144192, 2669.542687,   NaN
 -34, 1008.637,   6.21,   2.88,   4.15,   0.72,   0.17,    NaN, 2473.897057, 2585.626158,   NaN
 -33, 1008.572,   6.21,   2.88,   4.15,   0.72,   0.17,    NaN, 2476.953280, 2585.457994,   NaN
 -32, 1008.637,   6.19,   2.87,   4.14,   0.72,   0.17,    NaN, 2552.308515, 2622.937844,   NaN
 -31, 1008.670,   6.21,   2.90,   4.14,   0.72,   0.17,    NaN, 2512.400507, 2622.870248,   NaN
 -30, 1008.539,   6.21,   2.92,   4.14,   0.71,   0.17,    NaN, 2511.049800, 2647.635585,   NaN
 -29, 1008.637,   6.20,   2.90,   4.13,   0.71,   0.17,    NaN, 2598.024218, 2607.217029,   NaN
 -28, 1008.473,   6.21,   2.92,   4.14,   0.70,   0.17,    NaN, 2504.027428, 2666.401996,   NaN
 -27, 1008.441,   6.22,   2.93,   4.14,   0.71,   0.17,    NaN, 2469.936762, 2619.999218,   NaN
 -26, 1008.441,   6.22,   2.95,   4.14,   0.71,   0.18,    NaN, 2469.929468, 2646.131451,   NaN
 -25, 1008.244,   6.23,   2.96,   4.14,   0.71,   0.18,    NaN, 2560.033259, 2667.691476,   NaN
 -24, 1008.539,   6.24,   2.98,   4.14,   0.70,   0.18,    NaN, 2472.677420, 2640.101497,   NaN
 -23, 1008.408,   6.25,   3.01,   4.14,   0.70,   0.18,    NaN, 2453.549693, 2587.635600,   NaN
 -22, 1008.276,   6.25,   3.01,   4.14,   0.72,   0.19,    NaN, 2519.811243, 2660.528693,   NaN
 -21, 1008.408,   6.24,   3.00,   4.14,   0.72,   0.19,    NaN, 2555.004519, 2629.385426,   NaN
 -20, 1008.309,   6.24,   3.00,   4.13,   0.72,   0.19,    NaN, 2512.401140, 2607.521971,   NaN
 -19, 1008.309,   6.23,   2.97,   4.13,   0.71,   0.19,    NaN, 2573.075637, 2663.334812,   NaN
 -18, 1008.375,   6.22,   2.95,   4.12,   0.72,   0.19,    NaN, 2472.979121, 2657.160249,   NaN
 -17, 1008.342,   6.21,   2.96,   4.11,   0.72,   0.19,    NaN, 2550.466006, 2734.653101,   NaN
 -16, 1008.244,   6.21,   2.96,   4.11,   0.72,   0.19,    NaN, 2604.648972, 2663.226399,   NaN
 -15, 1008.145,   6.20,   2.96,   4.11,   0.72,   0.19,    NaN, 2536.650459, 2663.059079,   NaN
 -14, 1008.047,   6.20,   2.94,   4.11,   0.72,   0.19,    NaN, 2497.397119, 2584.301598,   NaN
 -13, 1008.276,   6.20,   2.95,   4.10,   0.71,   0.20,    NaN, 2540.772630, 2697.191970,   NaN
 -12, 1008.276,   6.19,   2.94,   4.10,   0.71,   0.20,    NaN, 2491.446287, 2597.033125,   NaN
 -11, 1008.079,   6.20,   2.95,   4.10,   0.72,   0.20,    NaN, 2522.815557, 2629.706470,   NaN
 -10, 1008.178,   6.20,   2.96,   4.10,   0.72,   0.20,    NaN, 2480.112230, 2704.309773,   NaN
  -9, 1008.112,   6.20,   2.97,   4.10,   0.73,   0.20,    NaN, 2483.152662, 2628.374755,   NaN
  -8, 1008.079,   6.20,   2.98,   4.09,   0.72,   0.20,    NaN, 2515.584458, 2650.934441,   NaN
  -7, 1007.948,   6.20,   2.98,   4.09,   0.73,   0.20,    NaN, 2515.263937, 2644.635938,   NaN
  -6, 1007.981,   6.18,   2.95,   4.08,   0.72,   0.20,    NaN, 2456.845529, 2774.711266,   NaN
  -5, 1008.276,   6.18,   2.96,   4.07,   0.72,   0.20,    NaN, 2472.898634, 2693.312910,   NaN
  -4, 1007.882,   6.19,   2.98,   4.07,   0.72,   0.20,    NaN, 2520.889631, 2633.232593,   NaN
  -3, 1008.014,   6.18,   2.98,   4.06,   0.72,   0.20,    NaN, 2403.948064, 2696.936249,   NaN
  -2, 1007.948,   6.19,   2.99,   4.06,   0.72,   0.20,    NaN, 2489.380300, 2630.428272,   NaN
  -1, 1007.948,   6.18,   2.98,   4.05,   0.72,   0.20,    NaN, 2487.866824, 2668.702752,   NaN
   0, 1007.948,   6.18,   2.98,   4.04,   0.72,   0.20,    NaN, 2421.205495, 2683.013307,   NaN
   1, 1007.160,   6.16,   2.94,   4.03,   0.71,   0.20,    NaN, 2428.297676, 2681.126900,   NaN
   2, 1006.799,   6.16,   2.94,   4.03,   0.71,   0.20,    NaN, 2475.294601, 2627.281893,   NaN
   3, 1006.602,   6.16,   2.94,   4.03,   0.71,   0.20,    NaN, 2517.189813, 2626.762955,   NaN
   4, 1005.880,   6.16,   2.95,   4.03,   0.71,   0.20,    NaN, 2515.437582, 2665.747012,   NaN
   5, 1005.782,   6.14,   2.93,   4.02,   0.71,   0.19,    NaN, 2439.346578, 2620.773267,   NaN
   6, 1005.617,   6.13,   2.95,   4.01,   0.72,   0.19,    NaN, 2500.025779, 2736.084634,   NaN
   7, 1005.158,   6.13,   2.96,   4.01,   0.71,   0.19,    NaN, 2485.105591, 2630.823368,   NaN
   8, 1004.928,   6.11,   2.95,   3.99,   0.72,   0.19,    NaN, 2484.696624, 2679.989195,   NaN
   9, 1004.731,   6.12,   3.00,   3.99,   0.72,   0.19,    NaN, 2479.066040, 2674.962293,   NaN
  10, 1004.534,   6.12,   3.01,   3.98,   0.72,   0.19,    NaN, 2426.786293, 2585.258573,   NaN
  11, 1004.075,   6.10,   3.00,   3.97,   0.71,   0.18,    NaN, 2400.225332, 2692.467112,   NaN
  12, 1003.714,   6.08,   2.97,   3.97,   0.72,   0.18,    NaN, 2506.771296, 2646.261693,   NaN
  13, 1003.484,   6.05,   2.94,   3.96,   0.72,   0.18,    NaN, 2429.397160, 2706.583541,   NaN
  14, 1003.353,   6.03,   2.93,   3.95,   0.72,   0.18,    NaN, 2458.993495, 2598.895722,   NaN
  15, 1002.893,   6.02,   2.93,   3.94,   0.73,   0.17,    NaN, 2499.129472, 2610.443020,   NaN
  16, 1002.795,   6.02,   2.95,   3.93,   0.73,   0.17,    NaN, 2491.379999, 2610.207670,   NaN
  17, 1002.368,   5.99,   2.91,   3.93,   0.73,   0.17,    NaN, 2490.608947, 2585.494136,   NaN
  18, 1002.138,   5.98,   2.93,   3.92,   0.74,   0.17,    NaN, 2489.557874, 2584.952944,   NaN
  19, 1001.843,   5.98,   2.97,   3.91,   0.74,   0.16,    NaN, 2488.789774, 2683.830364,   NaN
  20, 1001.646,   5.98,   2.97,   3.91,   0.74,   0.16,    NaN, 2458.504483, 2628.912124,   NaN
  21, 1001.252,   5.99,   3.00,   3.90,   0.73,   0.15,    NaN, 2375.053191, 2623.463361,   NaN
  22, 1001.153,   5.98,   3.02,   3.89,   0.73,   0.15,    NaN, 2476.217338, 2606.155709,   NaN
  23, 1000.727,   5.96,   2.99,   3.88,   0.73,   0.14,    NaN, 2485.423153, 2646.270950,   NaN
  24, 1000.267,   5.94,   2.98,   3.87,   0.75,   0.14,    NaN, 2479.995611, 2702.568093,   NaN
  25,  999.939,   5.93,   2.98,   3.86,   0.75,   0.13,    NaN, 2457.663586, 2647.075855,   NaN
  26,  999.939,   5.89,   2.92,   3.85,   0.74,   0.13,    NaN, 2430.661658, 2554.701668,   NaN
  27,  999.676,   5.85,   2.87,   3.84,   0.74,   0.13,    NaN, 2413.361743, 2596.502695,   NaN
  28,  999.381,   5.86,   2.92,   3.83,   0.74,   0.13,    NaN, 2419.140149, 2606.834916,   NaN
  29,  999.315,   5.84,   2.94,   3.82,   0.74,   0.12,    NaN, 2481.749123, 2597.077855,   NaN
  30,  998.855,   5.85,   2.96,   3.81,   0.74,   0.12,    NaN, 2477.720320, 2608.584043,   NaN
  31,  998.560,   5.83,   2.97,   3.80,   0.74,   0.11,    NaN, 2487.999675, 2584.667369,   NaN
  32,  998.330,   5.82,   2.97,   3.79,   0.74,   0.11,    NaN, 2456.416715, 2617.414126,   NaN
  33,  997.904,   5.81,   2.98,   3.78,   0.73,   0.10,    NaN, 2489.688963, 2613.199526,   NaN
  34,  997.838,   5.80,   2.97,   3.77,   0.72,   0.09,    NaN, 2369.835891, 2656.417279,   NaN
  35,  997.641,   5.79,   2.99,   3.75,   0.72,   0.09,    NaN, 2453.605457, 2655.960829,   NaN
  36,  997.214,   5.79,   3.01,   3.73,   0.72,   0.09,    NaN, 2452.607098, 2635.538214,   NaN
  37,  996.787,   5.79,   3.01,   3.73,   0.72,   0.08,    NaN, 2469.867496, 2624.092056,   NaN
  38,  996.689,   5.75,   2.97,   3.72,   0.72,   0.08,    NaN, 2432.832068, 2657.678432,   NaN
  39,  996.295,   5.74,   2.99,   3.71,   0.72,   0.08,    NaN, 2368.270110, 2628.752743,   NaN
  40,  996.295,   5.74,   3.01,   3.70,   0.72,   0.08,    NaN, 2410.590729, 2536.394472,   NaN
  41,  996.197,   5.71,   3.00,   3.68,   0.73,   0.07,    NaN, 2468.155933, 2669.700486,   NaN
  42,  995.737,   5.69,   3.00,   3.67,   0.73,   0.07,    NaN, 2438.449214, 2642.720890,   NaN
  43,  995.474,   5.68,   3.02,   3.66,   0.74,   0.06,    NaN, 2443.315100, 2582.995965,   NaN
  44,  995.146,   5.67,   3.04,   3.66,   0.75,   0.05,    NaN, 2376.396518, 2659.301849,   NaN
  45,  994.916,   5.67,   3.06,   3.65,   0.74,   0.05,    NaN, 2451.888411, 2604.464902,   NaN
  46,  994.719,   5.65,   3.07,   3.64,   0.74,   0.04,    NaN, 2334.349354, 2669.326076,   NaN
  47,  994.358,   5.63,   3.09,   3.63,   0.75,   0.04,    NaN, 2452.793479, 2547.441664,   NaN
  48,  994.129,   5.62,   3.10,   3.63,   0.75,   0.03,    NaN, 2366.293061, 2666.357597,   NaN
  49,  993.997,   5.59,   3.12,   3.62,   0.75,   0.03,    NaN, 2379.527535, 2666.227171,   NaN
  50,  993.472,   5.59,   3.13,   3.61,   0.75,   0.03,    NaN, 2394.266213, 2583.454388,   NaN
  51,  993.242,   5.58,   3.13,   3.60,   0.75,   0.02,    NaN, 2406.539249, 2582.925458,   NaN
  52,  993.144,   5.55,   3.12,   3.58,   0.76,   0.01,    NaN, 2436.584353, 2552.640163,   NaN
  53,  992.881,   5.53,   3.13,   3.57,   0.75,   0.01,    NaN, 2488.562378, 2643.261950,   NaN
  54,  992.586,   5.49,   3.08,   3.56,   0.76,   0.00,    NaN, 2488.143407, 2581.567949,   NaN
  55,  992.093,   5.49,   3.08,   3.56,   0.76,  -0.01,  -0.01, 2469.366560, 2664.343117,   NaN
  56,  992.126,   5.47,   3.10,   3.54,   0.76,  -0.02,  -0.02, 2393.817352, 2533.390850,   NaN
  57,  991.732,   5.46,   3.13,   3.52,   0.76,  -0.03,  -0.02, 2413.689603, 2620.059421,   NaN
  58,  991.306,   5.44,   3.14,   3.51,   0.75,  -0.04,  -0.03, 2405.989622, 2588.832603,   NaN
  59,  991.404,   5.43,   3.14,   3.50,   0.75,  -0.04,  -0.03, 2460.517964, 2563.601104,   NaN
  60,  991.109,   5.42,   3.16,   3.49,   0.75,  -0.04,  -0.04, 2319.126713, 2582.332809,   NaN
  61,  990.616,   5.39,   3.15,   3.47,   0.74,  -0.05,  -0.04, 2446.615204, 2603.805814,   NaN
