                 Dae (um),0.523000,0.542000,0.583000,0.626000,0.673000,0.723000,0.777000,0.835000,0.898000,0.965000,1.037000,1.114000,1.197000,1.286000,1.382000,1.486000,1.596000,1.715000,1.843000,1.981000,2.129000,2.288000,2.458000,2.642000,2.839000,3.051000,3.278000,3.523000,3.786000,4.068000,4.371000,4.698000,5.048000,5.425000,5.829000,6.264000,6.732000,7.234000,7.774000,8.354000,8.977000,9.647000,10.37000,11.14000,11.97000,12.86000,13.82000,14.86000,15.96000,17.15000,18.43000,19.81000, NaTotal
                  dlogDae,0.250000,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250
Total  dN/dlogDae (#/scc),5.770e+1,1.544e+1,1.033e+1,6.508e+0,4.073e+0,2.785e+0,1.849e+0,1.255e+0,7.524e-1,4.812e-1,2.917e-1,1.969e-1,1.250e-1,9.232e-2,7.925e-2,5.964e-2,4.984e-2,3.431e-2,3.840e-2,1.797e-2,1.471e-2,6.536e-3,8.170e-3,5.719e-3,4.902e-3,4.085e-3,2.451e-3,1.634e-3,8.170e-4,8.170e-4,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,8.170e-4,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,1.582e+1
Total  dN/dlogDae (#/cc ),5.455e+1,1.460e+1,9.769e+0,6.152e+0,3.850e+0,2.633e+0,1.748e+0,1.186e+0,7.113e-1,4.549e-1,2.757e-1,1.861e-1,1.182e-1,8.727e-2,7.492e-2,5.638e-2,4.711e-2,3.244e-2,3.630e-2,1.699e-2,1.390e-2,6.179e-3,7.723e-3,5.406e-3,4.634e-3,3.862e-3,2.317e-3,1.545e-3,7.723e-4,7.723e-4,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,7.723e-4,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,1.495e+1
