                 Dae (um),0.523000,0.542000,0.583000,0.626000,0.673000,0.723000,0.777000,0.835000,0.898000,0.965000,1.037000,1.114000,1.197000,1.286000,1.382000,1.486000,1.596000,1.715000,1.843000,1.981000,2.129000,2.288000,2.458000,2.642000,2.839000,3.051000,3.278000,3.523000,3.786000,4.068000,4.371000,4.698000,5.048000,5.425000,5.829000,6.264000,6.732000,7.234000,7.774000,8.354000,8.977000,9.647000,10.37000,11.14000,11.97000,12.86000,13.82000,14.86000,15.96000,17.15000,18.43000,19.81000, NaTotal
                  dlogDae,0.250000,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250,0.031250
Total  dN/dlogDae (#/scc),2.541e+2,1.856e+2,1.552e+2,1.132e+2,7.267e+1,4.609e+1,2.848e+1,1.570e+1,8.316e+0,4.003e+0,2.126e+0,1.060e+0,5.959e-1,3.901e-1,2.734e-1,1.720e-1,1.137e-1,7.987e-2,6.758e-2,6.758e-2,3.379e-2,3.993e-2,1.536e-2,6.144e-3,6.144e-3,6.144e-3,0.000e+0,0.000e+0,0.000e+0,3.072e-3,0.000e+0,0.000e+0,3.072e-3,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,8.334e+1
Total  dN/dlogDae (#/cc ),2.416e+2,1.765e+2,1.476e+2,1.077e+2,6.910e+1,4.383e+1,2.708e+1,1.493e+1,7.907e+0,3.806e+0,2.021e+0,1.008e+0,5.667e-1,3.710e-1,2.600e-1,1.636e-1,1.081e-1,7.595e-2,6.426e-2,6.426e-2,3.213e-2,3.797e-2,1.460e-2,5.842e-3,5.842e-3,5.842e-3,0.000e+0,0.000e+0,0.000e+0,2.921e-3,0.000e+0,0.000e+0,2.921e-3,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,0.000e+0,7.924e+1
