Time (Sec), Pressure (hPa), Tgw_mean (degC), Tgw_std (degC), Tww_mean (degC), Tww_std (degC), TDew (degC), TFrost (degC), CPC_Inters (#/cm3), CPC_TotBot (#/cm3), CPC_TotTop (#/cm3)
 -60,  986.579,   6.81,   1.00,   5.16,   0.57,   1.90,    NaN,   NaN, 3583.607910,   NaN
 -59,  986.447,   6.80,   1.01,   5.16,   0.57,   1.90,    NaN,   NaN, 3712.794124,   NaN
 -58,  986.447,   6.80,   1.01,   5.16,   0.57,   1.90,    NaN,   NaN, 3657.284949,   NaN
 -57,  986.185,   6.80,   1.00,   5.16,   0.57,   1.90,    NaN,   NaN, 3627.637607,   NaN
 -56,  986.382,   6.78,   1.01,   5.16,   0.56,   1.90,    NaN,   NaN, 3611.411238,   NaN
 -55,  986.185,   6.79,   1.02,   5.16,   0.56,   1.89,    NaN,   NaN, 3724.330716,   NaN
 -54,  986.218,   6.79,   1.01,   5.17,   0.56,   1.89,    NaN,   NaN, 3632.442126,   NaN
 -53,  986.349,   6.76,   1.01,   5.16,   0.56,   1.89,    NaN,   NaN, 3639.280888,   NaN
 -52,  986.480,   6.77,   1.02,   5.17,   0.56,   1.89,    NaN,   NaN, 3689.803838,   NaN
 -51,  986.316,   6.76,   1.03,   5.16,   0.56,   1.89,    NaN,   NaN, 3720.100784,   NaN
 -50,  986.447,   6.76,   1.04,   5.17,   0.55,   1.89,    NaN,   NaN, 3625.079293,   NaN
 -49,  986.415,   6.76,   1.05,   5.17,   0.55,   1.89,    NaN,   NaN, 3664.228491,   NaN
 -48,  986.053,   6.75,   1.04,   5.17,   0.55,   1.89,    NaN,   NaN, 3639.590291,   NaN
 -47,  986.053,   6.73,   1.02,   5.16,   0.55,   1.89,    NaN,   NaN, 3620.996558,   NaN
 -46,  986.283,   6.72,   1.01,   5.16,   0.55,   1.89,    NaN,   NaN, 3675.633358,   NaN
 -45,  985.922,   6.71,   0.99,   5.16,   0.55,   1.89,    NaN,   NaN, 3674.450102,   NaN
 -44,  986.185,   6.69,   0.98,   5.16,   0.55,   1.89,    NaN,   NaN, 3627.331159,   NaN
 -43,  986.053,   6.68,   0.98,   5.15,   0.55,   1.89,    NaN,   NaN, 3758.123220,   NaN
 -42,  986.119,   6.68,   1.00,   5.15,   0.55,   1.89,    NaN,   NaN, 3687.650946,   NaN
 -41,  985.988,   6.68,   1.01,   5.15,   0.55,   1.89,    NaN,   NaN, 3582.002204,   NaN
 -40,  986.086,   6.68,   1.01,   5.15,   0.55,   1.89,    NaN,   NaN, 3608.999657,   NaN
 -39,  985.922,   6.66,   1.00,   5.14,   0.54,   1.89,    NaN,   NaN, 3755.747062,   NaN
 -38,  985.955,   6.66,   0.99,   5.14,   0.55,   1.89,    NaN,   NaN, 3622.250902,   NaN
