Time (Sec), Pressure (hPa), Tgw_mean (degC), Tgw_std (degC), Tww_mean (degC), Tww_std (degC), TDew (degC), TFrost (degC), CPC_Inters (#/cm3), CPC_TotBot (#/cm3), CPC_TotTop (#/cm3)
 -60,  960.482,   4.15,   0.93,   4.04,   0.52,   1.02,    NaN,   NaN, 2899.740151,   NaN
 -59,  960.417,   4.15,   0.93,   4.04,   0.52,   1.02,    NaN,   NaN, 2873.490551,   NaN
 -58,  960.351,   4.15,   0.93,   4.04,   0.52,   1.02,    NaN,   NaN, 2956.515641,   NaN
 -57,  959.990,   4.15,   0.94,   4.04,   0.52,   1.02,    NaN,   NaN, 2951.484241,   NaN
 -56,  960.548,   4.16,   0.95,   4.04,   0.52,   1.02,    NaN,   NaN, 2871.478837,   NaN
 -55,  960.450,   4.17,   0.97,   4.04,   0.52,   1.02,    NaN,   NaN, 2945.428288,   NaN
 -54,  960.482,   4.17,   0.99,   4.03,   0.52,   1.02,    NaN,   NaN, 2846.418056,   NaN
 -53,  960.417,   4.19,   1.00,   4.04,   0.53,   1.02,    NaN,   NaN, 2920.779673,   NaN
 -52,  960.286,   4.19,   1.01,   4.03,   0.53,   1.02,    NaN,   NaN, 2971.104738,   NaN
 -51,  960.482,   4.19,   1.02,   4.03,   0.53,   1.02,    NaN,   NaN, 2894.855878,   NaN
 -50,  960.384,   4.19,   1.02,   4.03,   0.53,   1.02,    NaN,   NaN, 2837.044972,   NaN
 -49,  960.384,   4.20,   1.01,   4.03,   0.53,   1.02,    NaN,   NaN, 2837.017353,   NaN
 -48,  960.384,   4.19,   1.00,   4.04,   0.53,   1.02,    NaN,   NaN, 2819.952200,   NaN
 -47,  960.253,   4.20,   0.99,   4.04,   0.52,   1.02,    NaN,   NaN, 2892.612843,   NaN
 -46,  960.089,   4.20,   0.99,   4.04,   0.52,   1.02,    NaN,   NaN, 2920.288380,   NaN
 -45,  960.515,   4.20,   0.99,   4.04,   0.52,   1.02,    NaN,   NaN, 2981.749036,   NaN
 -44,  960.351,   4.20,   0.99,   4.04,   0.52,   1.02,    NaN,   NaN, 2927.373558,   NaN
 -43,  960.187,   4.21,   0.98,   4.04,   0.52,   1.02,    NaN,   NaN, 2992.468751,   NaN
 -42,  960.187,   4.20,   0.99,   4.04,   0.52,   1.03,    NaN,   NaN, 2920.450016,   NaN
 -41,  960.220,   4.20,   0.98,   4.04,   0.52,   1.03,    NaN,   NaN, 2913.326935,   NaN
 -40,  960.154,   4.19,   0.98,   4.04,   0.52,   1.03,    NaN,   NaN, 2953.049034,   NaN
 -39,  960.253,   4.20,   0.99,   4.04,   0.52,   1.03,    NaN,   NaN, 2872.289824,   NaN
 -38,  960.187,   4.20,   0.98,   4.04,   0.52,   1.03,    NaN,   NaN, 2941.914010,   NaN
 -37,  960.121,   4.20,   0.98,   4.05,   0.52,   1.03,    NaN,   NaN, 2975.874532,   NaN
 -36,  960.318,   4.20,   0.98,   4.05,   0.52,   1.03,    NaN,   NaN, 2845.192052,   NaN
 -35,  960.089,   4.20,   0.98,   4.05,   0.51,   1.03,    NaN,   NaN, 2962.805516,   NaN
 -34,  959.957,   4.21,   0.97,   4.06,   0.51,   1.03,    NaN,   NaN, 2849.710542,   NaN
 -33,  960.089,   4.20,   0.97,   4.06,   0.51,   1.03,    NaN,   NaN, 2850.157777,   NaN
 -32,  960.187,   4.21,   0.97,   4.07,   0.51,   1.03,    NaN,   NaN, 2975.043727,   NaN
 -31,  960.023,   4.21,   0.97,   4.08,   0.51,   1.03,    NaN,   NaN, 2858.664347,   NaN
 -30,  960.023,   4.21,   0.97,   4.09,   0.51,   1.03,    NaN,   NaN, 2881.232916,   NaN
 -29,  960.056,   4.21,   0.96,   4.10,   0.50,   1.02,    NaN,   NaN, 2838.542683,   NaN
 -28,  960.121,   4.21,   0.96,   4.11,   0.51,   1.02,    NaN,   NaN, 2907.628216,   NaN
 -27,  960.286,   4.21,   0.96,   4.11,   0.51,   1.02,    NaN,   NaN, 2938.386217,   NaN
 -26,  960.089,   4.20,   0.95,   4.12,   0.51,   1.02,    NaN,   NaN, 2928.399530,   NaN
 -25,  959.892,   4.21,   0.96,   4.14,   0.52,   1.02,    NaN,   NaN, 2998.367231,   NaN
 -24,  959.990,   4.20,   0.96,   4.14,   0.52,   1.02,    NaN,   NaN, 2836.764103,   NaN
 -23,  959.957,   4.21,   0.96,   4.15,   0.52,   1.02,    NaN,   NaN, 2897.800488,   NaN
 -22,  959.924,   4.20,   0.95,   4.15,   0.52,   1.02,    NaN,   NaN, 2931.245351,   NaN
 -21,  960.023,   4.20,   0.95,   4.15,   0.52,   1.02,    NaN,   NaN, 2983.352561,   NaN
 -20,  959.957,   4.20,   0.94,   4.16,   0.51,   1.02,    NaN,   NaN, 2902.983925,   NaN
 -19,  960.023,   4.21,   0.94,   4.16,   0.52,   1.02,    NaN,   NaN, 2910.563964,   NaN
 -18,  959.793,   4.20,   0.95,   4.16,   0.51,   1.01,    NaN,   NaN, 2887.981226,   NaN
 -17,  959.957,   4.22,   0.95,   4.16,   0.51,   1.01,    NaN,   NaN, 2888.348901,   NaN
