Time (Sec), Pressure (hPa), Tgw_mean (degC), Tgw_std (degC), Tww_mean (degC), Tww_std (degC), TDew (degC), TFrost (degC), CPC_Inters (#/cm3), CPC_TotBot (#/cm3), CPC_TotTop (#/cm3)
 -23,  983.362,   5.83,   1.02,   5.20,   0.52,   1.66,    NaN,   NaN, 2887.561119,   NaN
 -22,  983.395,   5.83,   1.03,   5.20,   0.52,   1.66,    NaN,   NaN, 2988.609700,   NaN
 -21,  983.460,   5.83,   1.02,   5.21,   0.52,   1.66,    NaN,   NaN, 2924.886337,   NaN
 -20,  983.165,   5.82,   1.02,   5.21,   0.52,   1.66,    NaN,   NaN, 2981.466670,   NaN
 -19,  983.132,   5.82,   1.03,   5.21,   0.52,   1.66,    NaN,   NaN, 2912.501664,   NaN
 -18,  983.034,   5.83,   1.03,   5.21,   0.51,   1.66,    NaN,   NaN, 2881.377125,   NaN
 -17,  983.165,   5.83,   1.03,   5.21,   0.51,   1.66,    NaN,   NaN, 2910.902613,   NaN
 -16,  983.132,   5.82,   1.03,   5.20,   0.51,   1.66,    NaN,   NaN, 2910.871410,   NaN
 -15,  983.165,   5.83,   1.02,   5.21,   0.51,   1.66,    NaN,   NaN, 2869.422743,   NaN
 -14,  983.132,   5.83,   1.02,   5.21,   0.51,   1.66,    NaN,   NaN, 2847.029002,   NaN
 -13,  983.132,   5.82,   1.01,   5.20,   0.50,   1.66,    NaN,   NaN, 2937.788605,   NaN
 -12,  983.132,   5.82,   1.02,   5.20,   0.51,   1.65,    NaN,   NaN, 2939.463633,   NaN
 -11,  983.263,   5.82,   1.02,   5.19,   0.50,   1.66,    NaN,   NaN, 2897.252641,   NaN
 -10,  982.738,   5.82,   1.02,   5.18,   0.50,   1.66,    NaN,   NaN, 2928.646917,   NaN
  -9,  983.066,   5.81,   1.01,   5.18,   0.49,   1.66,    NaN,   NaN, 2914.226343,   NaN
  -8,  983.034,   5.82,   1.01,   5.16,   0.50,   1.66,    NaN,   NaN, 2976.721455,   NaN
  -7,  982.870,   5.81,   1.02,   5.14,   0.50,   1.66,    NaN,   NaN, 2924.322400,   NaN
  -6,  983.034,   5.81,   1.02,   5.13,   0.50,   1.66,    NaN,   NaN, 2873.887608,   NaN
  -5,  983.066,   5.81,   1.01,   5.11,   0.51,   1.66,    NaN,   NaN, 2886.023234,   NaN
  -4,  982.738,   5.82,   1.02,   5.08,   0.52,   1.66,    NaN,   NaN, 2939.527204,   NaN
  -3,  982.771,   5.81,   1.02,   5.05,   0.53,   1.66,    NaN,   NaN, 2939.665270,   NaN
  -2,  982.870,   5.81,   1.01,   5.02,   0.55,   1.66,    NaN,   NaN, 2865.574290,   NaN
  -1,  982.673,   5.81,   1.02,   4.98,   0.58,   1.66,    NaN,   NaN, 2863.794551,   NaN
   0,  982.738,   5.82,   1.02,   4.94,   0.61,   1.66,    NaN,   NaN, 2863.883870,   NaN
   1,  982.082,   5.81,   1.02,   4.88,   0.65,   1.66,    NaN,   NaN, 2918.485074,   NaN
   2,  980.900,   5.80,   1.02,   4.82,   0.69,   1.65,    NaN,   NaN, 2836.594455,   NaN
   3,  979.423,   5.78,   1.01,   4.76,   0.74,   1.65,    NaN,   NaN, 2805.593040,   NaN
   4,  978.208,   5.78,   1.01,   4.76,   0.74,   1.65,    NaN,   NaN, 2852.845932,   NaN
   5,  976.731,   5.74,   1.01,   4.69,   0.79,   1.65,    NaN,   NaN, 2881.175194,   NaN
   6,  975.549,   5.70,   1.00,   4.62,   0.83,   1.64,    NaN,   NaN, 2905.098052,   NaN
   7,  974.827,   5.65,   0.99,   4.55,   0.87,   1.64,    NaN,   NaN, 2825.973599,   NaN
   8,  973.383,   5.59,   0.99,   4.48,   0.90,   1.63,    NaN,   NaN, 2808.663815,   NaN
   9,  972.300,   5.53,   0.98,   4.41,   0.92,   1.63,    NaN,   NaN, 2862.015809,   NaN
  10,  970.888,   5.47,   0.97,   4.35,   0.93,   1.63,    NaN,   NaN, 2847.514485,   NaN
  11,  969.838,   5.38,   0.93,   4.30,   0.94,   1.62,    NaN,   NaN, 2805.478468,   NaN
  12,  968.722,   5.30,   0.91,   4.25,   0.94,   1.59,    NaN,   NaN, 2799.037634,   NaN
  13,  967.474,   5.23,   0.92,   4.19,   0.94,   1.47,    NaN,   NaN, 2789.892864,   NaN
  14,  966.391,   5.17,   0.92,   4.16,   0.94,   1.46,    NaN,   NaN, 2791.512198,   NaN
