Time (Sec), Pressure (hPa), Tgw_mean (degC), Tgw_std (degC), Tww_mean (degC), Tww_std (degC), TDew (degC), TFrost (degC), CPC_Inters (#/cm3), CPC_TotBot (#/cm3), CPC_TotTop (#/cm3)
 -60,  992.586,   6.08,   0.00,   6.14,   0.10,   3.75,    NaN,   NaN, 2648.165985,   NaN
 -59,  992.717,   6.09,   0.00,   6.15,   0.10,   3.75,    NaN,   NaN, 2607.831171,   NaN
 -58,  992.914,   6.09,   0.00,   6.15,   0.10,   3.75,    NaN,   NaN, 2669.195558,   NaN
 -57,  992.422,   6.07,   0.00,   6.14,   0.10,   3.75,    NaN,   NaN, 2734.006773,   NaN
 -56,  992.684,   6.10,   0.00,   6.15,   0.10,   3.75,    NaN,   NaN, 2722.439681,   NaN
 -55,  992.455,   6.09,   0.00,   6.15,   0.10,   3.75,    NaN,   NaN, 2709.807097,   NaN
 -54,  992.553,   6.10,   0.00,   6.15,   0.10,   3.75,    NaN,   NaN, 2799.619521,   NaN
 -53,  992.750,   6.09,   0.00,   6.14,   0.10,   3.75,    NaN,   NaN, 2727.872822,   NaN
 -52,  992.389,   6.10,   0.01,   6.15,   0.10,   3.75,    NaN,   NaN, 2654.453143,   NaN
 -51,  992.684,   6.10,   0.01,   6.15,   0.10,   3.75,    NaN,   NaN, 2676.553625,   NaN
 -50,  992.586,   6.09,   0.00,   6.15,   0.10,   3.75,    NaN,   NaN, 2697.631745,   NaN
 -49,  992.553,   6.11,   0.00,   6.15,   0.10,   3.75,    NaN,   NaN, 2706.954899,   NaN
 -48,  992.717,   6.11,   0.00,   6.16,   0.10,   3.75,    NaN,   NaN, 2716.998108,   NaN
 -47,  992.586,   6.11,   0.00,   6.15,   0.10,   3.75,    NaN,   NaN, 2615.934740,   NaN
 -46,  992.619,   6.10,   0.00,   6.15,   0.11,   3.75,    NaN,   NaN, 2702.106713,   NaN
 -45,  992.651,   6.11,   0.00,   6.15,   0.10,   3.75,    NaN,   NaN, 2685.797615,   NaN
 -44,  992.553,   6.10,   0.00,   6.14,   0.10,   3.75,    NaN,   NaN, 2656.296265,   NaN
 -43,  992.455,   6.10,   0.00,   6.13,   0.11,   3.75,    NaN,   NaN, 2626.719076,   NaN
 -42,  992.553,   6.12,   0.00,   6.15,   0.10,   3.75,    NaN,   NaN, 2624.931782,   NaN
 -41,  992.586,   6.11,   0.00,   6.14,   0.11,   3.75,    NaN,   NaN, 2686.532142,   NaN
 -40,  992.192,   6.12,   0.00,   6.14,   0.10,   3.75,    NaN,   NaN, 2687.917180,   NaN
 -39,  992.093,   6.12,   0.00,   6.13,   0.11,   3.75,    NaN,   NaN, 2642.183538,   NaN
 -38,  992.192,   6.13,   0.00,   6.13,   0.10,   3.75,    NaN,   NaN, 2698.978269,   NaN
 -37,  992.126,   6.12,   0.00,   6.13,   0.10,   3.75,    NaN,   NaN, 2691.709101,   NaN
 -36,  992.356,   6.12,   0.00,   6.12,   0.10,   3.75,    NaN,   NaN, 2712.683897,   NaN
 -35,  992.290,   6.12,   0.01,   6.13,   0.10,   3.75,    NaN,   NaN, 2732.773822,   NaN
