Time (Sec), Pressure (hPa), Tgw_mean (degC), Tgw_std (degC), Tww_mean (degC), Tww_std (degC), TDew (degC), TFrost (degC), CPC_Inters (#/cm3), CPC_TotBot (#/cm3), CPC_TotTop (#/cm3)
 -60,  986.579,   5.86,   0.11,   4.35,   0.15,   1.90,    NaN,   NaN, 3595.898214,   NaN
 -59,  986.447,   5.83,   0.12,   4.35,   0.15,   1.90,    NaN,   NaN, 3725.700774,   NaN
 -58,  986.447,   5.83,   0.12,   4.35,   0.15,   1.90,    NaN,   NaN, 3669.998635,   NaN
 -57,  986.185,   5.83,   0.12,   4.36,   0.15,   1.90,    NaN,   NaN, 3640.183047,   NaN
 -56,  986.382,   5.82,   0.12,   4.36,   0.14,   1.90,    NaN,   NaN, 3623.848160,   NaN
 -55,  986.185,   5.82,   0.12,   4.36,   0.14,   1.89,    NaN,   NaN, 3737.293444,   NaN
 -54,  986.218,   5.81,   0.12,   4.36,   0.14,   1.89,    NaN,   NaN, 3645.116809,   NaN
 -53,  986.349,   5.79,   0.12,   4.34,   0.14,   1.89,    NaN,   NaN, 3652.054131,   NaN
 -52,  986.480,   5.80,   0.12,   4.37,   0.13,   1.89,    NaN,   NaN, 3702.623655,   NaN
 -51,  986.316,   5.78,   0.13,   4.35,   0.13,   1.89,    NaN,   NaN, 3733.281855,   NaN
 -50,  986.447,   5.78,   0.12,   4.37,   0.13,   1.89,    NaN,   NaN, 3637.898568,   NaN
 -49,  986.415,   5.76,   0.13,   4.36,   0.12,   1.89,    NaN,   NaN, 3677.419520,   NaN
 -48,  986.053,   5.74,   0.12,   4.36,   0.12,   1.89,    NaN,   NaN, 3652.772205,   NaN
 -47,  986.053,   5.73,   0.13,   4.37,   0.12,   1.89,    NaN,   NaN, 3633.930733,   NaN
 -46,  986.283,   5.71,   0.12,   4.36,   0.12,   1.89,    NaN,   NaN, 3688.876862,   NaN
 -45,  985.922,   5.70,   0.13,   4.37,   0.12,   1.89,    NaN,   NaN, 3687.756385,   NaN
 -44,  986.185,   5.69,   0.13,   4.37,   0.11,   1.89,    NaN,   NaN, 3640.352817,   NaN
 -43,  986.053,   5.67,   0.12,   4.36,   0.11,   1.89,    NaN,   NaN, 3771.770339,   NaN
 -42,  986.119,   5.66,   0.12,   4.37,   0.11,   1.89,    NaN,   NaN, 3701.126530,   NaN
 -41,  985.988,   5.65,   0.12,   4.35,   0.11,   1.89,    NaN,   NaN, 3595.339103,   NaN
 -40,  986.086,   5.65,   0.12,   4.35,   0.11,   1.89,    NaN,   NaN, 3622.437077,   NaN
 -39,  985.922,   5.65,   0.12,   4.36,   0.11,   1.89,    NaN,   NaN, 3769.455770,   NaN
 -38,  985.955,   5.64,   0.12,   4.35,   0.11,   1.89,    NaN,   NaN, 3635.558689,   NaN
 -37,  985.824,   5.63,   0.12,   4.35,   0.11,   1.89,    NaN,   NaN, 3792.793270,   NaN
 -36,  986.086,   5.62,   0.12,   4.35,   0.11,   1.89,    NaN,   NaN, 3647.435838,   NaN
 -35,  985.791,   5.61,   0.12,   4.35,   0.11,   1.88,    NaN,   NaN, 3652.481041,   NaN
 -34,  985.824,   5.59,   0.12,   4.34,   0.11,   1.88,    NaN,   NaN, 3673.613458,   NaN
 -33,  985.660,   5.58,   0.12,   4.34,   0.10,   1.88,    NaN,   NaN, 3691.667862,   NaN
 -32,  985.725,   5.58,   0.12,   4.34,   0.11,   1.88,    NaN,   NaN, 3648.602633,   NaN
 -31,  985.758,   5.57,   0.12,   4.33,   0.10,   1.88,    NaN,   NaN, 3748.151565,   NaN
 -30,  985.824,   5.56,   0.12,   4.34,   0.10,   1.88,    NaN,   NaN, 3635.175514,   NaN
 -29,  985.463,   5.55,   0.12,   4.34,   0.10,   1.88,    NaN,   NaN, 3634.020648,   NaN
 -28,  985.660,   5.54,   0.12,   4.34,   0.10,   1.88,    NaN,   NaN, 3607.129967,   NaN
