Time (Sec), Pressure (hPa), Tgw_mean (degC), Tgw_std (degC), Tww_mean (degC), Tww_std (degC), TDew (degC), TFrost (degC), CPC_Inters (#/cm3), CPC_TotBot (#/cm3), CPC_TotTop (#/cm3)
 -60,  987.793,   3.71,   0.02,   3.99,   0.13,   2.20,    NaN, 2459.472467, 2623.101479,   NaN
 -59,  988.056,   3.72,   0.01,   3.98,   0.13,   2.20,    NaN, 2469.027867, 2655.317189,   NaN
 -58,  987.925,   3.71,   0.01,   3.98,   0.14,   2.20,    NaN, 2384.787676, 2635.677770,   NaN
 -57,  987.859,   3.71,   0.00,   3.97,   0.13,   2.20,    NaN, 2432.088384, 2662.598030,   NaN
 -56,  987.990,   3.74,   0.01,   3.97,   0.13,   2.20,    NaN, 2390.045840, 2607.661527,   NaN
 -55,  987.793,   3.74,   0.01,   3.97,   0.13,   2.20,    NaN, 2504.830774, 2650.977124,   NaN
 -54,  987.859,   3.75,   0.00,   3.97,   0.13,   2.20,    NaN, 2402.957274, 2642.057757,   NaN
 -53,  987.728,   3.75,   0.00,   3.97,   0.14,   2.20,    NaN, 2300.658596, 2662.251845,   NaN
 -52,  988.023,   3.76,   0.00,   3.99,   0.14,   2.20,    NaN, 2433.017838, 2645.133067,   NaN
 -51,  987.925,   3.76,   0.01,   3.98,   0.14,   2.20,    NaN, 2467.869088, 2610.236424,   NaN
 -50,  987.563,   3.76,   0.01,   3.98,   0.14,   2.20,    NaN, 2426.985044, 2597.437356,   NaN
 -49,  987.892,   3.77,   0.00,   3.98,   0.13,   2.20,    NaN, 2414.897716, 2645.968258,   NaN
 -48,  987.728,   3.79,   0.01,   3.99,   0.13,   2.20,    NaN, 2353.392117, 2630.174978,   NaN
 -47,  987.695,   3.80,   0.01,   3.99,   0.13,   2.20,    NaN, 2465.805880, 2603.260546,   NaN
 -46,  987.793,   3.81,   0.00,   3.99,   0.13,   2.21,    NaN, 2411.490719, 2609.183242,   NaN
 -45,  988.089,   3.80,   0.00,   3.99,   0.13,   2.21,    NaN, 2417.863670, 2615.729229,   NaN
 -44,  987.925,   3.81,   0.01,   3.99,   0.13,   2.21,    NaN, 2401.067290, 2615.187165,   NaN
 -43,  987.793,   3.83,   0.01,   3.99,   0.12,   2.21,    NaN, 2514.740455, 2662.659081,   NaN
 -42,  987.957,   3.81,   0.01,   3.98,   0.12,   2.22,    NaN, 2477.435745, 2650.257779,   NaN
 -41,  987.760,   3.84,   0.01,   4.00,   0.12,   2.22,    NaN, 2392.936542, 2572.577789,   NaN
 -40,  987.760,   3.84,   0.01,   3.99,   0.11,   2.22,    NaN, 2423.824794, 2622.398661,   NaN
 -39,  987.859,   3.84,   0.00,   4.00,   0.11,   2.22,    NaN, 2449.683595, 2636.904062,   NaN
 -38,  987.760,   3.86,   0.01,   4.00,   0.11,   2.22,    NaN, 2516.899707, 2642.957729,   NaN
 -37,  987.859,   3.84,   0.00,   3.99,   0.11,   2.22,    NaN, 2517.268120, 2693.418179,   NaN
 -36,  987.957,   3.85,   0.01,   3.99,   0.11,   2.22,    NaN, 2432.513256, 2614.514753,   NaN
 -35,  987.892,   3.87,   0.00,   3.99,   0.11,   2.22,    NaN, 2387.176968, 2688.272111,   NaN
 -34,  988.121,   3.86,   0.00,   3.99,   0.11,   2.22,    NaN, 2431.412311, 2599.920109,   NaN
 -33,  988.023,   3.88,   0.01,   3.99,   0.11,   2.22,    NaN, 2424.465604, 2685.216307,   NaN
 -32,  988.023,   3.88,   0.01,   3.99,   0.11,   2.22,    NaN, 2454.730021, 2662.979751,   NaN
 -31,  987.596,   3.89,   0.01,   4.00,   0.11,   2.22,    NaN, 2417.892971, 2591.131502,   NaN
 -30,  987.925,   3.89,   0.00,   4.01,   0.11,   2.22,    NaN, 2423.775185, 2606.428309,   NaN
 -29,  987.793,   3.89,   0.01,   4.01,   0.11,   2.22,    NaN, 2394.245356, 2717.061014,   NaN
 -28,  987.826,   3.90,   0.01,   4.01,   0.11,   2.22,    NaN, 2436.915252, 2717.100726,   NaN
 -27,  987.793,   3.90,   0.00,   4.01,   0.10,   2.22,    NaN, 2441.669968, 2598.792437,   NaN
 -26,  987.662,   3.90,   0.00,   4.00,   0.10,   2.22,    NaN, 2400.696102, 2645.352307,   NaN
 -25,  987.990,   3.91,   0.00,   4.01,   0.10,   2.22,    NaN, 2446.315195, 2608.423464,   NaN
 -24,  987.695,   3.92,   0.01,   4.02,   0.09,   2.22,    NaN, 2411.941293, 2682.401984,   NaN
 -23,  987.728,   3.92,   0.00,   4.02,   0.09,   2.22,    NaN, 2422.820915, 2662.037764,   NaN
 -22,  987.695,   3.93,   0.00,   4.03,   0.08,   2.22,    NaN, 2348.169959, 2616.104394,   NaN
 -21,  987.859,   3.94,   0.01,   4.03,   0.08,   2.22,    NaN, 2348.485084, 2687.336635,   NaN
 -20,  987.695,   3.94,   0.01,   4.04,   0.08,   2.22,    NaN, 2448.353102, 2661.992304,   NaN
 -19,  987.695,   3.94,   0.00,   4.04,   0.07,   2.21,    NaN, 2452.776525, 2713.760445,   NaN
 -18,  987.990,   3.94,   0.00,   4.05,   0.07,   2.21,    NaN, 2538.910006, 2564.823672,   NaN
 -17,  987.596,   3.96,   0.00,   4.08,   0.07,   2.21,    NaN, 2456.687260, 2659.857655,   NaN
 -16,  987.859,   3.96,   0.00,   4.08,   0.06,   2.21,    NaN, 2433.302802, 2610.616069,   NaN
