Time (Sec), Pressure (hPa), Tgw_mean (degC), Tgw_std (degC), Tww_mean (degC), Tww_std (degC), TDew (degC), TFrost (degC), CPC_Inters (#/cm3), CPC_TotBot (#/cm3), CPC_TotTop (#/cm3)
 -60,  975.287,   5.13,   0.02,   5.26,   0.20,   2.57,    NaN,   NaN, 3665.529045,   NaN
 -59,  975.024,   5.14,   0.01,   5.26,   0.20,   2.57,    NaN,   NaN, 3599.917037,   NaN
 -58,  975.188,   5.14,   0.01,   5.26,   0.20,   2.57,    NaN,   NaN, 3686.656123,   NaN
 -57,  975.024,   5.13,   0.01,   5.25,   0.19,   2.56,    NaN,   NaN, 3686.125821,   NaN
 -56,  975.254,   5.14,   0.00,   5.26,   0.19,   2.56,    NaN,   NaN, 3705.087457,   NaN
 -55,  974.991,   5.14,   0.01,   5.25,   0.18,   2.56,    NaN,   NaN, 3630.142000,   NaN
 -54,  974.991,   5.14,   0.01,   5.23,   0.17,   2.56,    NaN,   NaN, 3669.057108,   NaN
 -53,  974.991,   5.14,   0.01,   5.23,   0.17,   2.56,    NaN,   NaN, 3656.508437,   NaN
 -52,  975.057,   5.15,   0.01,   5.23,   0.16,   2.56,    NaN,   NaN, 3644.609295,   NaN
 -51,  974.860,   5.15,   0.01,   5.21,   0.14,   2.56,    NaN,   NaN, 3663.264689,   NaN
 -50,  974.926,   5.15,   0.00,   5.19,   0.13,   2.56,    NaN,   NaN, 3609.164877,   NaN
 -49,  974.729,   5.14,   0.01,   5.18,   0.12,   2.56,    NaN,   NaN, 3583.741040,   NaN
 -48,  975.024,   5.14,   0.01,   5.16,   0.11,   2.56,    NaN,   NaN, 3616.844826,   NaN
 -47,  974.958,   5.14,   0.00,   5.15,   0.11,   2.56,    NaN,   NaN, 3644.930485,   NaN
 -46,  974.794,   5.16,   0.01,   5.15,   0.11,   2.56,    NaN,   NaN, 3707.014475,   NaN
 -45,  974.729,   5.14,   0.01,   5.14,   0.11,   2.56,    NaN,   NaN, 3644.273351,   NaN
 -44,  974.926,   5.15,   0.01,   5.14,   0.10,   2.56,    NaN,   NaN, 3597.496785,   NaN
 -43,  974.696,   5.15,   0.01,   5.15,   0.10,   2.56,    NaN,   NaN, 3621.739412,   NaN
 -42,  974.860,   5.14,   0.01,   5.14,   0.10,   2.56,    NaN,   NaN, 3581.659302,   NaN
 -41,  974.794,   5.14,   0.00,   5.14,   0.10,   2.56,    NaN,   NaN, 3581.406337,   NaN
 -40,  974.860,   5.16,   0.01,   5.15,   0.09,   2.56,    NaN,   NaN, 3576.427302,   NaN
 -39,  974.597,   5.14,   0.02,   5.14,   0.10,   2.57,    NaN,   NaN, 3617.296852,   NaN
 -38,  974.860,   5.15,   0.00,   5.14,   0.10,   2.57,    NaN,   NaN, 3592.691556,   NaN
 -37,  974.630,   5.16,   0.00,   5.13,   0.09,   2.57,    NaN,   NaN, 3579.501891,   NaN
 -36,  974.433,   5.16,   0.01,   5.14,   0.09,   2.57,    NaN,   NaN, 3620.089980,   NaN
 -35,  974.827,   5.16,   0.01,   5.14,   0.09,   2.57,    NaN,   NaN, 3629.265248,   NaN
 -34,  974.532,   5.15,   0.01,   5.14,   0.10,   2.58,    NaN,   NaN, 3642.067306,   NaN
 -33,  974.630,   5.16,   0.01,   5.14,   0.09,   2.58,    NaN,   NaN, 3633.320645,   NaN
 -32,  974.532,   5.16,   0.01,   5.14,   0.10,   2.58,    NaN,   NaN, 3647.880162,   NaN
 -31,  974.762,   5.15,   0.00,   5.13,   0.10,   2.58,    NaN,   NaN, 3661.338872,   NaN
 -30,  974.466,   5.15,   0.01,   5.13,   0.10,   2.58,    NaN,   NaN, 3546.873488,   NaN
 -29,  974.466,   5.16,   0.01,   5.13,   0.10,   2.57,    NaN,   NaN, 3623.592580,   NaN
 -28,  974.630,   5.15,   0.01,   5.11,   0.10,   2.57,    NaN,   NaN, 3623.049240,   NaN
 -27,  974.335,   5.16,   0.01,   5.12,   0.10,   2.57,    NaN,   NaN, 3614.452126,   NaN
 -26,  974.532,   5.15,   0.01,   5.10,   0.10,   2.57,    NaN,   NaN, 3543.494269,   NaN
 -25,  974.368,   5.17,   0.01,   5.12,   0.10,   2.57,    NaN,   NaN, 3542.639812,   NaN
 -24,  974.466,   5.17,   0.01,   5.11,   0.10,   2.57,    NaN,   NaN, 3655.651476,   NaN
 -23,  974.269,   5.17,   0.01,   5.11,   0.11,   2.58,    NaN,   NaN, 3667.013898,   NaN
 -22,  974.138,   5.16,   0.01,   5.09,   0.11,   2.57,    NaN,   NaN, 3674.181952,   NaN
 -21,  974.597,   5.17,   0.00,   5.10,   0.10,   2.57,    NaN,   NaN, 3527.752712,   NaN
 -20,  974.335,   5.16,   0.01,   5.10,   0.10,   2.57,    NaN,   NaN, 3620.820928,   NaN
 -19,  974.302,   5.17,   0.00,   5.10,   0.10,   2.57,    NaN,   NaN, 3580.240773,   NaN
 -18,  974.335,   5.16,   0.01,   5.10,   0.10,   2.57,    NaN,   NaN, 3771.475615,   NaN
 -17,  974.171,   5.16,   0.01,   5.10,   0.10,   2.57,    NaN,   NaN, 3516.727246,   NaN
 -16,  974.335,   5.16,   0.01,   5.10,   0.09,   2.57,    NaN,   NaN, 3615.029440,   NaN
 -15,  974.138,   5.18,   0.01,   5.11,   0.09,   2.57,    NaN,   NaN, 3620.523778,   NaN
 -14,  974.269,   5.16,   0.01,   5.09,   0.09,   2.57,    NaN,   NaN, 3646.706644,   NaN
 -13,  974.039,   5.15,   0.01,   5.09,   0.09,   2.57,    NaN,   NaN, 3547.140625,   NaN
 -12,  974.204,   5.17,   0.01,   5.10,   0.09,   2.56,    NaN,   NaN, 3624.464299,   NaN
 -11,  974.204,   5.17,   0.02,   5.10,   0.08,   2.56,    NaN,   NaN, 3624.500111,   NaN
 -10,  974.039,   5.16,   0.02,   5.09,   0.09,   2.56,    NaN,   NaN, 3554.138404,   NaN
  -9,  974.072,   5.16,   0.01,   5.09,   0.08,   2.56,    NaN,   NaN, 3665.847599,   NaN
  -8,  974.138,   5.17,   0.02,   5.09,   0.07,   2.56,    NaN,   NaN, 3600.871805,   NaN
  -7,  974.039,   5.16,   0.01,   5.08,   0.08,   2.56,    NaN,   NaN, 3593.347461,   NaN
  -6,  974.105,   5.17,   0.01,   5.09,   0.07,   2.56,    NaN,   NaN, 3595.267916,   NaN
  -5,  974.039,   5.15,   0.01,   5.07,   0.07,   2.56,    NaN,   NaN, 3600.281229,   NaN
  -4,  973.842,   5.16,   0.00,   5.07,   0.08,   2.56,    NaN,   NaN, 3602.970550,   NaN
  -3,  973.941,   5.16,   0.01,   5.07,   0.08,   2.56,    NaN,   NaN, 3639.753155,   NaN
  -2,  973.974,   5.16,   0.01,   5.06,   0.08,   2.56,    NaN,   NaN, 3671.345896,   NaN
  -1,  973.875,   5.14,   0.01,   5.06,   0.08,   2.55,    NaN,   NaN, 3572.788941,   NaN
   0,  973.711,   5.14,   0.01,   5.06,   0.08,   2.55,    NaN,   NaN, 3574.727729,   NaN
   1,  973.777,   5.17,   0.01,   5.07,   0.08,   2.55,    NaN,   NaN, 3590.273840,   NaN
   2,  973.908,   5.16,   0.01,   5.06,   0.09,   2.55,    NaN,   NaN, 3657.157560,   NaN
   3,  973.875,   5.16,   0.01,   5.06,   0.09,   2.55,    NaN,   NaN, 3553.704159,   NaN
   4,  974.007,   5.15,   0.01,   5.04,   0.09,   2.55,    NaN,   NaN, 3673.255274,   NaN
   5,  973.678,   5.16,   0.01,   5.04,   0.09,   2.55,    NaN,   NaN, 3562.339780,   NaN
   6,  973.547,   5.17,   0.01,   5.05,   0.09,   2.55,    NaN,   NaN, 3561.676394,   NaN
   7,  973.580,   5.16,   0.01,   5.04,   0.09,   2.55,    NaN,   NaN, 3562.773560,   NaN
   8,  974.007,   5.17,   0.02,   5.03,   0.09,   2.55,    NaN,   NaN, 3608.905019,   NaN
   9,  973.744,   5.15,   0.01,   5.02,   0.09,   2.55,    NaN,   NaN, 3648.280317,   NaN
  10,  973.613,   5.15,   0.02,   5.02,   0.08,   2.55,    NaN,   NaN, 3664.697496,   NaN
  11,  973.678,   5.15,   0.02,   5.02,   0.08,   2.55,    NaN,   NaN, 3591.273230,   NaN
  12,  973.547,   5.14,   0.01,   5.02,   0.08,   2.55,    NaN,   NaN, 3547.412037,   NaN
  13,  973.645,   5.15,   0.02,   5.02,   0.08,   2.55,    NaN,   NaN, 3617.433725,   NaN
  14,  973.711,   5.15,   0.02,   5.02,   0.07,   2.55,    NaN,   NaN, 3586.024434,   NaN
  15,  973.678,   5.14,   0.01,   5.00,   0.08,   2.55,    NaN,   NaN, 3553.629126,   NaN
  16,  973.416,   5.15,   0.01,   5.00,   0.08,   2.55,    NaN,   NaN, 3570.721829,   NaN
  17,  973.449,   5.15,   0.01,   5.00,   0.08,   2.55,    NaN,   NaN, 3631.211148,   NaN
  18,  973.547,   5.15,   0.01,   5.00,   0.08,   2.55,    NaN,   NaN, 3609.565328,   NaN
  19,  973.547,   5.16,   0.01,   5.00,   0.08,   2.55,    NaN,   NaN, 3568.604592,   NaN
  20,  973.416,   5.14,   0.01,   4.98,   0.09,   2.55,    NaN,   NaN, 3517.020723,   NaN
  21,  973.252,   5.14,   0.01,   4.98,   0.09,   2.55,    NaN,   NaN, 3545.561289,   NaN
  22,  973.416,   5.16,   0.01,   4.98,   0.09,   2.55,    NaN,   NaN, 3601.937982,   NaN
  23,  973.547,   5.15,   0.02,   4.97,   0.09,   2.55,    NaN,   NaN, 3501.752451,   NaN
  24,  973.317,   5.15,   0.01,   4.96,   0.10,   2.55,    NaN,   NaN, 3500.959579,   NaN
  25,  973.678,   5.15,   0.01,   4.96,   0.10,   2.55,    NaN,   NaN, 3641.009805,   NaN
  26,  973.383,   5.15,   0.01,   4.95,   0.10,   2.55,    NaN,   NaN, 3532.235496,   NaN
  27,  973.350,   5.15,   0.02,   4.94,   0.10,   2.55,    NaN,   NaN, 3580.043229,   NaN
  28,  973.252,   5.15,   0.01,   4.94,   0.11,   2.55,    NaN,   NaN, 3549.237686,   NaN
  29,  973.481,   5.14,   0.02,   4.92,   0.12,   2.55,    NaN,   NaN, 3650.295788,   NaN
  30,  973.186,   5.14,   0.02,   4.92,   0.11,   2.55,    NaN,   NaN, 3617.290167,   NaN
  31,  973.087,   5.13,   0.01,   4.91,   0.12,   2.55,    NaN,   NaN, 3704.941528,   NaN
  32,  973.383,   5.12,   0.02,   4.89,   0.12,   2.55,    NaN,   NaN, 3600.088875,   NaN
  33,  973.350,   5.13,   0.02,   4.89,   0.12,   2.55,    NaN,   NaN, 3531.029456,   NaN
  34,  973.087,   5.14,   0.01,   4.88,   0.13,   2.55,    NaN,   NaN, 3580.817771,   NaN
  35,  973.022,   5.12,   0.02,   4.87,   0.12,   2.55,    NaN,   NaN, 3640.896942,   NaN
  36,  973.120,   5.12,   0.02,   4.87,   0.12,   2.54,    NaN,   NaN, 3731.219395,   NaN
  37,  972.989,   5.12,   0.02,   4.87,   0.12,   2.54,    NaN,   NaN, 3730.724668,   NaN
  38,  972.989,   5.12,   0.02,   4.86,   0.13,   2.54,    NaN,   NaN, 3573.416284,   NaN
  39,  972.956,   5.13,   0.02,   4.85,   0.13,   2.54,    NaN,   NaN, 3652.699321,   NaN
  40,  973.252,   5.13,   0.02,   4.84,   0.13,   2.54,    NaN,   NaN, 3525.820836,   NaN
  41,  972.923,   5.12,   0.02,   4.83,   0.13,   2.54,    NaN,   NaN, 3563.375943,   NaN
  42,  972.858,   5.12,   0.02,   4.82,   0.14,   2.54,    NaN,   NaN, 3674.311113,   NaN
  43,  972.923,   5.11,   0.02,   4.80,   0.14,   2.53,    NaN,   NaN, 3594.933307,   NaN
  44,  972.890,   5.10,   0.02,   4.78,   0.14,   2.53,    NaN,   NaN, 3561.576490,   NaN
  45,  972.759,   5.10,   0.02,   4.79,   0.14,   2.53,    NaN,   NaN, 3630.024697,   NaN
  46,  972.890,   5.09,   0.02,   4.76,   0.14,   2.53,    NaN,   NaN, 3538.014764,   NaN
